,yobit,coinbasepro,probit,kraken,binance,crypto-com,oceanex,fastex,coinw,huobipro,tidex,fmfwio
xeggex,1.25,0.62,0.6,0.58,0.44,0.41,0.41,0.41,0.41,0.41,0.4,0.38
exmo,0.95,0.32,0.29,0.27,0.13,0.1,0.1,0.1,0.1,0.1,0.09,0.08
kucoin,0.94,0.31,0.28,0.26,0.12,0.1,0.09,0.09,0.09,0.09,0.08,0.07
bingx,0.92,0.29,0.26,0.24,0.1,0.08,0.08,0.07,0.07,0.07,0.06,0.05
coinlist,0.91,0.28,0.26,0.23,0.09,0.07,0.07,0.07,0.06,0.06,0.05,0.04
btcturk-pro,0.91,0.28,0.26,0.23,0.09,0.07,0.07,0.07,0.06,0.06,0.05,0.04
bitmax,0.91,0.28,0.26,0.23,0.09,0.07,0.07,0.07,0.06,0.06,0.05,0.04
mxc,0.91,0.28,0.26,0.23,0.09,0.07,0.07,0.07,0.06,0.06,0.05,0.04
phemex-spot,0.9,0.27,0.25,0.22,0.08,0.06,0.06,0.06,0.05,0.05,0.04,0.03
okx,0.9,0.27,0.25,0.22,0.08,0.06,0.06,0.06,0.05,0.05,0.04,0.03
bitget,0.9,0.27,0.25,0.22,0.08,0.06,0.06,0.06,0.05,0.05,0.04,0.03
binance-us,0.89,0.26,0.24,0.21,0.07,0.05,0.05,0.05,0.04,0.04,0.03,0.02
