,bydfi,fmfwio,digifinex,coinbasepro,p2pb2b,bigone,btcturk-pro,probit,kucoin,bitget,tidex,fastex
yobit,1.37,1.36,1.31,1.29,1.25,1.23,1.21,1.15,1.14,1.13,1.13,1.13
binance-us,0.71,0.71,0.66,0.63,0.59,0.58,0.55,0.5,0.49,0.48,0.48,0.47
bybit-spot,0.52,0.52,0.47,0.44,0.4,0.39,0.36,0.3,0.3,0.29,0.28,0.28
phemex-spot,0.51,0.5,0.45,0.43,0.39,0.37,0.35,0.29,0.28,0.27,0.27,0.27
oceanex,0.5,0.49,0.44,0.42,0.38,0.36,0.34,0.28,0.28,0.26,0.26,0.26
exmo,0.45,0.45,0.4,0.37,0.33,0.32,0.29,0.23,0.23,0.22,0.22,0.21
xeggex,0.43,0.42,0.37,0.35,0.31,0.29,0.27,0.21,0.2,0.19,0.19,0.18
crypto-com,0.36,0.35,0.3,0.28,0.24,0.22,0.2,0.14,0.14,0.12,0.12,0.12
okx,0.34,0.34,0.29,0.26,0.22,0.21,0.18,0.13,0.12,0.11,0.11,0.1
bingx,0.34,0.33,0.28,0.26,0.22,0.2,0.18,0.12,0.11,0.1,0.1,0.1
huobipro,0.32,0.32,0.27,0.24,0.2,0.19,0.16,0.11,0.1,0.09,0.09,0.08
kraken,0.32,0.32,0.26,0.24,0.2,0.18,0.16,0.1,0.1,0.08,0.08,0.08
