,xeggex,crypto-com,coinbasepro,p2pb2b,bingx,kraken,exmo,binance,digifinex,tidex,btcturk-pro,bitget
yobit,1.46,1.37,1.32,1.25,1.22,1.21,1.17,1.12,1.08,1.08,1.07,1.06
binance-us,0.9,0.82,0.77,0.69,0.66,0.65,0.61,0.57,0.52,0.52,0.51,0.5
huobipro,0.54,0.45,0.4,0.33,0.3,0.29,0.25,0.2,0.15,0.15,0.15,0.13
bigone,0.53,0.44,0.39,0.32,0.29,0.28,0.24,0.19,0.14,0.14,0.14,0.12
fmfwio,0.5,0.42,0.37,0.3,0.27,0.26,0.21,0.17,0.12,0.12,0.12,0.1
probit,0.5,0.41,0.36,0.29,0.26,0.25,0.21,0.16,0.12,0.12,0.11,0.09
bybit-spot,0.49,0.41,0.36,0.29,0.26,0.25,0.2,0.16,0.11,0.11,0.1,0.09
lbank,0.49,0.4,0.35,0.28,0.25,0.24,0.2,0.15,0.1,0.1,0.1,0.08
fastex,0.47,0.39,0.33,0.26,0.23,0.22,0.18,0.14,0.09,0.09,0.08,0.07
mxc,0.47,0.39,0.33,0.26,0.23,0.22,0.18,0.14,0.09,0.09,0.08,0.07
bydfi,0.47,0.39,0.33,0.26,0.23,0.22,0.18,0.14,0.09,0.09,0.08,0.07
okx,0.47,0.39,0.33,0.26,0.23,0.22,0.18,0.14,0.09,0.09,0.08,0.07
