,xeggex,yobit,bydfi,binance-us,coinbasepro,oceanex,mxc,bitmax,crypto-com,bitget,fastex,bingx
btcturk-pro,1.1,1.05,1.03,0.9,0.82,0.79,0.78,0.74,0.73,0.72,0.56,0.49
exmo,0.87,0.82,0.8,0.67,0.59,0.56,0.55,0.51,0.5,0.49,0.33,0.26
bigone,0.87,0.82,0.8,0.66,0.58,0.56,0.54,0.5,0.5,0.49,0.33,0.26
tidex,0.87,0.82,0.8,0.66,0.58,0.55,0.54,0.5,0.49,0.48,0.33,0.25
lbank,0.86,0.81,0.79,0.66,0.58,0.55,0.54,0.5,0.49,0.48,0.32,0.25
binance,0.74,0.69,0.67,0.54,0.46,0.43,0.42,0.38,0.37,0.36,0.2,0.13
digifinex,0.72,0.67,0.65,0.51,0.43,0.4,0.39,0.35,0.34,0.33,0.18,0.1
phemex-spot,0.71,0.66,0.64,0.5,0.42,0.4,0.38,0.34,0.34,0.33,0.17,0.1
fmfwio,0.71,0.66,0.63,0.5,0.42,0.39,0.38,0.34,0.33,0.32,0.16,0.09
kraken,0.69,0.65,0.62,0.49,0.41,0.38,0.37,0.33,0.32,0.31,0.15,0.08
coinw,0.69,0.64,0.61,0.48,0.4,0.37,0.36,0.32,0.31,0.3,0.14,0.07
bybit-spot,0.67,0.62,0.6,0.46,0.38,0.36,0.34,0.3,0.3,0.29,0.13,0.06
