,huobipro,xeggex,btcturk-pro,oceanex,digifinex,bitmax,bybit-spot,phemex-spot,coinw,bitget,p2pb2b,bydfi
yobit,0.55,0.54,0.47,0.46,0.42,0.4,0.37,0.37,0.35,0.35,0.33,0.31
probit,0.55,0.53,0.47,0.46,0.42,0.4,0.37,0.37,0.35,0.34,0.33,0.31
fmfwio,0.5,0.49,0.42,0.41,0.37,0.35,0.32,0.32,0.3,0.3,0.28,0.26
exmo,0.47,0.46,0.39,0.38,0.35,0.32,0.3,0.3,0.27,0.27,0.26,0.23
kucoin,0.46,0.45,0.39,0.37,0.34,0.31,0.29,0.29,0.26,0.26,0.25,0.22
fastex,0.44,0.43,0.36,0.35,0.31,0.29,0.26,0.26,0.24,0.24,0.22,0.2
coinbasepro,0.4,0.39,0.32,0.31,0.27,0.25,0.22,0.22,0.2,0.2,0.18,0.16
bigone,0.39,0.38,0.31,0.3,0.26,0.24,0.21,0.21,0.19,0.19,0.17,0.15
crypto-com,0.39,0.38,0.31,0.3,0.26,0.24,0.21,0.21,0.19,0.19,0.17,0.15
kraken,0.38,0.37,0.3,0.29,0.25,0.23,0.21,0.21,0.18,0.18,0.16,0.14
mxc,0.37,0.36,0.3,0.28,0.25,0.22,0.2,0.2,0.17,0.17,0.16,0.13
okx,0.31,0.3,0.24,0.23,0.19,0.16,0.14,0.14,0.12,0.11,0.1,0.07
