,probit,p2pb2b,bitmax,coinbasepro,bingx,fmfwio,crypto-com,kraken,okx,phemex-spot,btcturk-pro,bydfi
yobit,0.68,0.61,0.57,0.57,0.57,0.55,0.45,0.41,0.39,0.34,0.33,0.31
binance-us,0.63,0.55,0.52,0.52,0.51,0.5,0.4,0.35,0.33,0.28,0.27,0.25
exmo,0.59,0.52,0.48,0.48,0.48,0.46,0.36,0.32,0.3,0.25,0.24,0.22
xeggex,0.56,0.48,0.45,0.45,0.44,0.43,0.33,0.29,0.26,0.21,0.21,0.19
bigone,0.55,0.48,0.44,0.44,0.43,0.42,0.32,0.28,0.25,0.21,0.2,0.18
coinw,0.54,0.47,0.43,0.43,0.43,0.41,0.32,0.27,0.25,0.2,0.19,0.17
digifinex,0.53,0.45,0.42,0.42,0.41,0.4,0.3,0.25,0.23,0.18,0.17,0.16
huobipro,0.51,0.43,0.4,0.4,0.39,0.38,0.28,0.23,0.21,0.16,0.15,0.13
bybit-spot,0.49,0.41,0.38,0.38,0.37,0.36,0.26,0.21,0.19,0.14,0.13,0.12
bitget,0.44,0.36,0.33,0.33,0.32,0.31,0.21,0.17,0.14,0.09,0.08,0.07
kucoin,0.44,0.36,0.33,0.33,0.32,0.31,0.21,0.16,0.14,0.09,0.08,0.07
oceanex,0.44,0.36,0.33,0.33,0.32,0.31,0.21,0.16,0.14,0.09,0.08,0.06
