,xeggex,oceanex,coinbasepro,exmo,btcturk-pro,kraken,huobipro,yobit,fmfwio,binance-us,bigone,probit
kucoin,1.49,1.22,1.17,1.15,1.08,0.87,0.78,0.77,0.73,0.7,0.57,0.43
bydfi,1.45,1.18,1.13,1.11,1.04,0.83,0.74,0.73,0.69,0.65,0.53,0.39
okx,1.45,1.18,1.13,1.11,1.04,0.83,0.74,0.73,0.69,0.65,0.53,0.39
bitget,1.44,1.16,1.11,1.09,1.03,0.82,0.72,0.71,0.67,0.64,0.52,0.37
p2pb2b,1.43,1.15,1.11,1.09,1.02,0.81,0.71,0.7,0.66,0.63,0.51,0.36
lbank,1.43,1.15,1.11,1.09,1.02,0.81,0.71,0.7,0.66,0.63,0.51,0.36
mxc,1.42,1.15,1.1,1.08,1.01,0.8,0.7,0.7,0.65,0.62,0.5,0.36
digifinex,1.39,1.11,1.07,1.05,0.98,0.77,0.67,0.66,0.62,0.59,0.47,0.32
tidex,1.37,1.09,1.05,1.03,0.96,0.75,0.65,0.64,0.6,0.57,0.45,0.3
fastex,1.33,1.06,1.01,0.99,0.92,0.71,0.61,0.61,0.56,0.53,0.41,0.27
bitmax,1.3,1.02,0.98,0.96,0.89,0.68,0.58,0.57,0.53,0.5,0.38,0.23
binance,1.23,0.96,0.91,0.89,0.82,0.61,0.52,0.51,0.47,0.43,0.31,0.17
