,binance,bydfi,tidex,kucoin,bingx,exmo,bitmax,kraken,phemex-spot,fastex,p2pb2b,okx
xeggex,0.76,0.7,0.69,0.68,0.68,0.65,0.65,0.62,0.61,0.6,0.57,0.54
yobit,0.61,0.55,0.54,0.53,0.53,0.5,0.5,0.46,0.46,0.45,0.42,0.39
probit,0.52,0.46,0.45,0.44,0.44,0.41,0.41,0.38,0.37,0.36,0.33,0.3
binance-us,0.48,0.42,0.41,0.4,0.4,0.37,0.37,0.34,0.33,0.32,0.29,0.26
huobipro,0.4,0.34,0.33,0.32,0.32,0.29,0.29,0.26,0.25,0.24,0.21,0.18
btcturk-pro,0.35,0.3,0.28,0.27,0.27,0.24,0.24,0.21,0.2,0.19,0.16,0.14
lbank,0.34,0.28,0.27,0.26,0.26,0.23,0.22,0.19,0.18,0.18,0.14,0.12
fmfwio,0.3,0.24,0.23,0.22,0.22,0.19,0.18,0.15,0.14,0.14,0.1,0.08
bybit-spot,0.29,0.23,0.22,0.21,0.21,0.18,0.18,0.14,0.14,0.13,0.1,0.07
oceanex,0.28,0.23,0.21,0.2,0.2,0.17,0.17,0.14,0.13,0.12,0.09,0.07
digifinex,0.28,0.22,0.21,0.2,0.2,0.17,0.17,0.14,0.13,0.12,0.09,0.06
mxc,0.28,0.22,0.21,0.2,0.2,0.17,0.17,0.14,0.13,0.12,0.09,0.06
