,fatbtc,xeggex,cryptology,btcturk-pro,latoken,kraken,coinsbit,coinbasepro,binance-us,bitmax,exmo,bybit-spot
bitmex-spot,40.0,3.98,3.73,3.71,3.61,3.59,3.56,3.56,3.56,3.52,3.49,3.49
cex,38.3,1.21,0.95,0.93,0.83,0.81,0.78,0.78,0.78,0.73,0.71,0.7
bigone,38.1,0.82,0.57,0.55,0.44,0.42,0.39,0.39,0.39,0.35,0.32,0.31
p2pb2b,38.0,0.68,0.42,0.4,0.3,0.28,0.25,0.25,0.25,0.2,0.18,0.17
bitget,38.0,0.66,0.4,0.38,0.27,0.25,0.22,0.22,0.22,0.18,0.15,0.15
digifinex,37.9,0.65,0.39,0.37,0.26,0.25,0.22,0.22,0.22,0.17,0.15,0.14
coinex,37.9,0.65,0.39,0.37,0.26,0.25,0.22,0.22,0.22,0.17,0.15,0.14
btse,37.9,0.64,0.38,0.36,0.25,0.24,0.21,0.21,0.21,0.16,0.13,0.13
mxc,37.9,0.63,0.38,0.36,0.25,0.23,0.2,0.2,0.2,0.16,0.13,0.12
bitrue,37.9,0.63,0.37,0.35,0.24,0.23,0.2,0.2,0.2,0.15,0.12,0.12
bydfi,37.9,0.62,0.36,0.34,0.23,0.22,0.19,0.19,0.19,0.14,0.11,0.11
kucoin,37.9,0.62,0.36,0.34,0.23,0.22,0.19,0.19,0.19,0.14,0.11,0.11
