,fatbtc,xeggex,probit,bigone,gateio,oceanex,huobipro,coinsbit,okx,bydfi,cryptology,bitget
bitmex-spot,39.9,4.14,3.9,3.89,3.79,3.77,3.76,3.76,3.74,3.74,3.74,3.73
cex,38.2,1.38,1.12,1.12,1.01,0.99,0.98,0.98,0.96,0.96,0.96,0.96
binance-us,37.7,0.65,0.39,0.39,0.28,0.26,0.25,0.25,0.23,0.23,0.23,0.23
kraken,37.7,0.63,0.38,0.38,0.26,0.25,0.23,0.23,0.22,0.22,0.21,0.21
bitmart,37.7,0.62,0.36,0.36,0.25,0.23,0.22,0.22,0.2,0.2,0.2,0.19
tidex,37.7,0.62,0.36,0.36,0.25,0.23,0.22,0.22,0.2,0.2,0.2,0.19
p2pb2b,37.7,0.62,0.36,0.36,0.25,0.23,0.22,0.22,0.2,0.2,0.2,0.19
coinbasepro,37.7,0.6,0.35,0.35,0.23,0.22,0.2,0.2,0.19,0.19,0.18,0.18
lbank,37.7,0.6,0.35,0.35,0.23,0.22,0.2,0.2,0.19,0.19,0.18,0.18
digifinex,37.7,0.59,0.33,0.33,0.22,0.2,0.19,0.19,0.17,0.17,0.16,0.16
bitrue,37.7,0.59,0.33,0.33,0.22,0.2,0.19,0.19,0.17,0.17,0.16,0.16
mxc,37.7,0.59,0.33,0.33,0.22,0.2,0.19,0.19,0.17,0.17,0.16,0.16
