,fatbtc,btse,exmo,binance,p2pb2b,tidex,bybit-spot,coinlist,mxc,probit,digifinex,kucoin
bitmex-spot,40.4,3.99,3.97,3.95,3.95,3.95,3.93,3.93,3.92,3.91,3.91,3.91
cex,38.7,1.22,1.2,1.18,1.18,1.17,1.16,1.16,1.15,1.14,1.13,1.13
xeggex,38.2,0.48,0.46,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.39,0.39
coinbasepro,38.2,0.45,0.43,0.4,0.4,0.4,0.39,0.39,0.37,0.37,0.36,0.36
phemex-spot,38.1,0.34,0.32,0.29,0.29,0.29,0.28,0.28,0.26,0.26,0.25,0.25
latoken,38.1,0.32,0.3,0.28,0.28,0.27,0.26,0.26,0.25,0.24,0.23,0.23
btcturk-pro,38.1,0.29,0.27,0.25,0.25,0.24,0.23,0.23,0.22,0.21,0.2,0.2
cryptology,38.1,0.27,0.25,0.22,0.22,0.22,0.21,0.21,0.19,0.19,0.18,0.18
coinsbit,38.0,0.25,0.22,0.2,0.2,0.2,0.19,0.19,0.17,0.16,0.16,0.15
coinex,38.0,0.22,0.19,0.17,0.17,0.17,0.15,0.15,0.14,0.13,0.12,0.12
oceanex,38.0,0.2,0.18,0.15,0.15,0.15,0.14,0.14,0.12,0.12,0.11,0.11
lbank,38.0,0.19,0.16,0.14,0.14,0.13,0.12,0.12,0.11,0.1,0.09,0.09
