,fatbtc,cex,huobipro,kraken,gateio,bitmax,cryptology,exmo,digifinex,kucoin,bitrue,crypto-com
xeggex,43.6,4.38,0.48,0.46,0.41,0.4,0.39,0.38,0.37,0.37,0.37,0.36
binance-us,43.6,4.3,0.39,0.37,0.32,0.32,0.3,0.3,0.29,0.29,0.29,0.28
bigone,43.5,4.23,0.32,0.3,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.2
probit,43.5,4.22,0.31,0.29,0.24,0.24,0.22,0.22,0.21,0.21,0.21,0.2
lbank,43.5,4.22,0.31,0.29,0.24,0.23,0.22,0.21,0.2,0.2,0.2,0.19
coinex,43.5,4.18,0.27,0.25,0.2,0.2,0.18,0.18,0.17,0.17,0.17,0.16
mxc,43.5,4.18,0.27,0.25,0.2,0.2,0.18,0.18,0.17,0.17,0.17,0.16
coinlist,43.5,4.17,0.26,0.24,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14
btcturk-pro,43.5,4.17,0.26,0.24,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14
bingx,43.5,4.14,0.22,0.2,0.15,0.15,0.13,0.13,0.12,0.12,0.12,0.11
tidex,43.5,4.14,0.22,0.2,0.15,0.15,0.13,0.13,0.12,0.12,0.12,0.11
okx,43.5,4.14,0.22,0.2,0.15,0.15,0.13,0.13,0.12,0.12,0.12,0.11
