,fatbtc,bitmex-spot,phemex-spot,huobipro,cryptology,p2pb2b,bybit-spot,bitget,coinsbit,coinlist,digifinex,binance
cex,58.2,16.8,14.5,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3
xeggex,51.4,3.38,0.71,0.47,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.41
bitmax,51.4,3.27,0.59,0.35,0.34,0.34,0.34,0.32,0.32,0.32,0.32,0.3
binance-us,51.4,3.27,0.59,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.3
probit,51.3,3.16,0.48,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.18
kraken,51.3,3.12,0.43,0.19,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.14
latoken,51.3,3.11,0.43,0.19,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.13
coinex,51.3,3.1,0.41,0.17,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.12
gateio,51.3,3.1,0.41,0.17,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.12
btcturk-pro,51.3,3.06,0.37,0.13,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.08
coinbasepro,51.3,3.06,0.37,0.13,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.08
lbank,51.3,3.06,0.37,0.13,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.08
