,fatbtc,xeggex,exmo,bitmax,bybit-spot,coinsbit,bydfi,bitrue,phemex-spot,kraken,probit,p2pb2b
cex,57.8,14.0,13.8,13.8,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7
bigone,51.3,0.77,0.55,0.55,0.43,0.41,0.41,0.41,0.41,0.41,0.4,0.39
latoken,51.2,0.53,0.31,0.31,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.15
binance-us,51.2,0.51,0.29,0.29,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.14
bitmart,51.2,0.44,0.22,0.21,0.1,0.08,0.08,0.08,0.08,0.08,0.07,0.06
lbank,51.2,0.43,0.22,0.21,0.1,0.08,0.08,0.08,0.08,0.08,0.07,0.06
bitget,51.2,0.43,0.21,0.21,0.1,0.08,0.08,0.08,0.08,0.08,0.07,0.06
btse,51.2,0.42,0.2,0.2,0.09,0.07,0.07,0.07,0.07,0.07,0.06,0.05
btcturk-pro,51.2,0.42,0.2,0.19,0.08,0.06,0.06,0.06,0.06,0.06,0.05,0.04
huobipro,51.2,0.4,0.18,0.18,0.07,0.05,0.05,0.05,0.05,0.05,0.04,0.03
crypto-com,51.2,0.4,0.18,0.18,0.07,0.05,0.05,0.05,0.05,0.05,0.04,0.03
coinlist,51.2,0.4,0.18,0.17,0.06,0.04,0.04,0.04,0.04,0.04,0.03,0.02
