,fatbtc,bigone,exmo,mxc,tidex,btse,bybit-spot,bingx,coinsbit,gateio,p2pb2b,coinex
btcturk-pro,48.2,1.65,1.43,1.34,1.27,1.25,1.25,1.23,1.21,1.21,1.19,1.19
bitmax,47.8,0.85,0.63,0.54,0.47,0.45,0.45,0.43,0.41,0.41,0.39,0.39
coinbasepro,47.8,0.81,0.59,0.49,0.43,0.41,0.4,0.39,0.37,0.37,0.35,0.35
latoken,47.8,0.79,0.57,0.47,0.41,0.39,0.38,0.37,0.35,0.35,0.33,0.33
xeggex,47.7,0.68,0.46,0.37,0.3,0.28,0.28,0.26,0.24,0.24,0.22,0.22
binance-us,47.7,0.66,0.45,0.35,0.28,0.26,0.26,0.24,0.22,0.22,0.2,0.2
lbank,47.7,0.57,0.35,0.26,0.19,0.17,0.17,0.15,0.13,0.13,0.11,0.11
bitmart,47.7,0.56,0.34,0.25,0.18,0.16,0.15,0.14,0.12,0.12,0.1,0.1
cryptology,47.6,0.55,0.33,0.23,0.16,0.14,0.14,0.12,0.1,0.1,0.08,0.08
bitget,47.6,0.53,0.31,0.21,0.14,0.12,0.12,0.1,0.08,0.08,0.06,0.06
phemex-spot,47.6,0.52,0.3,0.2,0.13,0.12,0.11,0.09,0.07,0.07,0.06,0.06
kucoin,47.6,0.52,0.3,0.2,0.13,0.12,0.11,0.09,0.07,0.07,0.06,0.06
