,fatbtc,latoken,coinbasepro,xeggex,exmo,btcturk-pro,kraken,btse,bitmart,okx,binance,bingx
bigone,47.3,0.76,0.69,0.67,0.53,0.51,0.43,0.43,0.42,0.4,0.34,0.34
phemex-spot,47.2,0.73,0.66,0.64,0.5,0.48,0.4,0.4,0.38,0.37,0.31,0.31
bydfi,47.2,0.73,0.66,0.64,0.5,0.48,0.4,0.4,0.38,0.37,0.31,0.31
digifinex,47.2,0.73,0.66,0.64,0.5,0.48,0.4,0.4,0.38,0.37,0.31,0.31
coinex,47.2,0.71,0.64,0.62,0.48,0.46,0.38,0.38,0.37,0.35,0.29,0.29
mxc,47.2,0.67,0.6,0.58,0.44,0.42,0.35,0.35,0.33,0.31,0.26,0.26
bitmax,47.2,0.66,0.59,0.58,0.44,0.41,0.34,0.34,0.32,0.3,0.25,0.25
binance-us,47.2,0.65,0.58,0.57,0.43,0.4,0.33,0.33,0.31,0.29,0.24,0.24
bitget,47.2,0.64,0.57,0.55,0.42,0.39,0.32,0.32,0.3,0.28,0.23,0.23
lbank,47.2,0.6,0.53,0.51,0.37,0.35,0.27,0.27,0.26,0.24,0.18,0.18
coinsbit,47.2,0.58,0.51,0.49,0.35,0.33,0.26,0.26,0.24,0.22,0.16,0.16
bybit-spot,47.2,0.58,0.51,0.49,0.35,0.33,0.26,0.26,0.24,0.22,0.16,0.16
