,fatbtc,coinbasepro,phemex-spot,exmo,p2pb2b,cryptology,latoken,tidex,coinsbit,mxc,bydfi,bitrue
xeggex,47.4,0.86,0.73,0.7,0.69,0.68,0.62,0.6,0.59,0.55,0.39,0.39
gateio,47.3,0.8,0.68,0.65,0.64,0.63,0.57,0.54,0.53,0.49,0.33,0.33
kucoin,47.3,0.78,0.66,0.63,0.62,0.61,0.55,0.53,0.51,0.48,0.31,0.31
huobipro,47.3,0.75,0.62,0.59,0.58,0.57,0.51,0.49,0.48,0.44,0.27,0.27
binance-us,47.3,0.73,0.6,0.57,0.57,0.56,0.5,0.47,0.46,0.42,0.26,0.26
bigone,47.3,0.73,0.6,0.57,0.56,0.55,0.49,0.47,0.45,0.42,0.25,0.25
bitmax,47.3,0.73,0.6,0.57,0.56,0.55,0.49,0.47,0.45,0.42,0.25,0.25
kraken,47.3,0.71,0.58,0.55,0.55,0.54,0.48,0.45,0.44,0.4,0.24,0.24
crypto-com,47.3,0.69,0.57,0.54,0.53,0.52,0.46,0.43,0.42,0.38,0.22,0.22
okx,47.2,0.66,0.53,0.5,0.49,0.48,0.42,0.4,0.38,0.35,0.18,0.18
bybit-spot,47.2,0.66,0.53,0.5,0.49,0.48,0.42,0.4,0.38,0.35,0.18,0.18
coinex,47.2,0.64,0.51,0.48,0.48,0.46,0.4,0.38,0.37,0.33,0.17,0.17
