,fatbtc,phemex-spot,xeggex,huobipro,coinbasepro,bigone,bitget,btse,probit,binance,kraken,kucoin
gateio,48.7,0.64,0.49,0.34,0.34,0.27,0.26,0.25,0.25,0.25,0.25,0.23
crypto-com,48.6,0.61,0.46,0.31,0.31,0.24,0.23,0.22,0.22,0.21,0.21,0.19
mxc,48.6,0.6,0.45,0.31,0.3,0.24,0.22,0.22,0.21,0.21,0.21,0.19
lbank,48.6,0.58,0.43,0.29,0.28,0.22,0.21,0.2,0.19,0.19,0.19,0.17
bitmax,48.6,0.57,0.42,0.27,0.27,0.21,0.19,0.19,0.18,0.18,0.18,0.16
p2pb2b,48.6,0.55,0.4,0.25,0.25,0.18,0.17,0.16,0.16,0.15,0.15,0.13
bitmart,48.6,0.55,0.4,0.25,0.25,0.18,0.17,0.16,0.15,0.15,0.15,0.13
cryptology,48.6,0.53,0.38,0.23,0.23,0.16,0.15,0.14,0.14,0.14,0.14,0.12
okx,48.6,0.53,0.38,0.23,0.23,0.16,0.15,0.14,0.14,0.13,0.13,0.11
btcturk-pro,48.6,0.49,0.34,0.19,0.19,0.12,0.11,0.1,0.1,0.09,0.09,0.08
coinsbit,48.6,0.49,0.34,0.19,0.19,0.12,0.11,0.1,0.1,0.09,0.09,0.08
bybit-spot,48.6,0.49,0.34,0.19,0.19,0.12,0.11,0.1,0.1,0.09,0.09,0.08
