,fatbtc,btse,crypto-com,coinbasepro,bitmax,bingx,latoken,kraken,exmo,cryptology,probit,p2pb2b
binance-us,49.3,0.65,0.59,0.55,0.54,0.49,0.49,0.47,0.46,0.45,0.38,0.36
bigone,49.3,0.63,0.58,0.53,0.52,0.48,0.48,0.46,0.45,0.43,0.37,0.35
coinsbit,49.3,0.63,0.57,0.53,0.52,0.47,0.47,0.45,0.44,0.43,0.36,0.34
coinex,49.3,0.57,0.51,0.47,0.46,0.42,0.41,0.4,0.39,0.37,0.31,0.28
gateio,49.3,0.55,0.5,0.45,0.44,0.4,0.4,0.38,0.37,0.35,0.29,0.27
lbank,49.3,0.55,0.5,0.45,0.44,0.4,0.4,0.38,0.37,0.35,0.29,0.27
digifinex,49.2,0.51,0.46,0.42,0.41,0.36,0.36,0.34,0.33,0.31,0.25,0.23
tidex,49.2,0.48,0.42,0.38,0.37,0.32,0.32,0.3,0.29,0.28,0.21,0.19
mxc,49.2,0.46,0.4,0.36,0.35,0.3,0.3,0.28,0.27,0.26,0.19,0.17
binance,49.2,0.46,0.4,0.36,0.35,0.3,0.3,0.28,0.27,0.26,0.19,0.17
huobipro,49.2,0.44,0.38,0.34,0.33,0.28,0.28,0.26,0.25,0.24,0.17,0.15
bybit-spot,49.2,0.42,0.36,0.32,0.31,0.26,0.26,0.25,0.23,0.22,0.16,0.13
