,fatbtc,exmo,cryptology,coinbasepro,coinex,latoken,bitmart,btcturk-pro,mxc,gateio,huobipro,lbank
bitmax,49.2,0.85,0.62,0.61,0.59,0.59,0.55,0.55,0.53,0.53,0.5,0.49
bitget,49.2,0.76,0.53,0.52,0.5,0.5,0.46,0.46,0.44,0.44,0.42,0.41
kucoin,49.2,0.75,0.52,0.51,0.49,0.49,0.45,0.45,0.43,0.43,0.4,0.39
probit,49.2,0.74,0.51,0.5,0.48,0.48,0.44,0.44,0.43,0.43,0.4,0.39
digifinex,49.1,0.74,0.5,0.49,0.48,0.47,0.44,0.44,0.42,0.42,0.39,0.38
okx,49.1,0.73,0.5,0.49,0.47,0.47,0.43,0.43,0.41,0.41,0.38,0.38
bydfi,49.1,0.73,0.5,0.49,0.47,0.47,0.43,0.43,0.41,0.41,0.38,0.38
p2pb2b,49.1,0.73,0.5,0.49,0.47,0.47,0.43,0.43,0.41,0.41,0.38,0.38
btse,49.1,0.71,0.48,0.47,0.45,0.45,0.41,0.41,0.39,0.39,0.37,0.36
bingx,49.1,0.67,0.44,0.43,0.41,0.41,0.38,0.38,0.36,0.36,0.33,0.32
binance,49.1,0.67,0.44,0.43,0.41,0.41,0.38,0.38,0.36,0.36,0.33,0.32
bitrue,49.1,0.65,0.42,0.41,0.39,0.39,0.36,0.36,0.34,0.34,0.31,0.3
