,fatbtc,bigone,latoken,phemex-spot,exmo,binance,kucoin,bingx,cryptology,bydfi,bitrue,tidex
bitmax,47.7,0.89,0.8,0.75,0.72,0.71,0.7,0.7,0.69,0.68,0.66,0.65
binance-us,47.6,0.69,0.6,0.55,0.52,0.51,0.5,0.5,0.49,0.48,0.46,0.45
btcturk-pro,47.5,0.58,0.49,0.44,0.41,0.4,0.39,0.39,0.38,0.37,0.35,0.34
kraken,47.5,0.58,0.49,0.44,0.41,0.4,0.39,0.39,0.38,0.37,0.35,0.34
p2pb2b,47.5,0.51,0.41,0.37,0.33,0.33,0.31,0.31,0.3,0.29,0.28,0.26
lbank,47.5,0.49,0.39,0.35,0.32,0.31,0.29,0.29,0.28,0.28,0.26,0.24
bybit-spot,47.5,0.49,0.39,0.35,0.32,0.31,0.29,0.29,0.28,0.28,0.26,0.24
bitget,47.4,0.44,0.34,0.29,0.26,0.26,0.24,0.24,0.23,0.22,0.2,0.19
bitmart,47.4,0.44,0.34,0.29,0.26,0.26,0.24,0.24,0.23,0.22,0.2,0.19
huobipro,47.4,0.43,0.33,0.28,0.25,0.25,0.23,0.23,0.22,0.21,0.19,0.18
coinex,47.4,0.42,0.32,0.28,0.24,0.24,0.22,0.22,0.21,0.2,0.18,0.17
digifinex,47.4,0.36,0.27,0.22,0.19,0.18,0.17,0.17,0.16,0.15,0.13,0.12
