,btse,bitmax,bybit-spot,bingx,kucoin,binance,crypto-com,gateio,exmo,coinex,coinw,huobipro
cryptology,0.54,0.5,0.48,0.47,0.46,0.45,0.45,0.43,0.42,0.35,0.34,0.3
okx,0.45,0.41,0.4,0.38,0.37,0.36,0.36,0.35,0.33,0.26,0.25,0.21
binance-us,0.44,0.39,0.38,0.36,0.36,0.35,0.34,0.33,0.32,0.25,0.24,0.19
coinbasepro,0.44,0.39,0.38,0.36,0.36,0.35,0.34,0.33,0.32,0.25,0.24,0.19
phemex-spot,0.37,0.33,0.32,0.3,0.29,0.28,0.28,0.27,0.26,0.18,0.17,0.13
fmfwio,0.36,0.32,0.31,0.29,0.28,0.27,0.27,0.26,0.24,0.17,0.16,0.12
lbank,0.29,0.25,0.24,0.22,0.21,0.2,0.2,0.19,0.18,0.11,0.09,0.05
mxc,0.28,0.24,0.22,0.2,0.2,0.19,0.19,0.17,0.16,0.09,0.08,0.04
bitget,0.27,0.22,0.21,0.19,0.19,0.18,0.18,0.16,0.15,0.08,0.07,0.03
bydfi,0.26,0.22,0.21,0.19,0.18,0.17,0.17,0.16,0.15,0.07,0.06,0.02
huobipro,0.24,0.2,0.19,0.17,0.16,0.15,0.15,0.14,0.13,0.05,0.04,0.2
coinw,0.16,0.14,0.13,0.12,0.11,0.11,0.09,0.08,0.01,-0.04,0.0,0.0
