,cryptology,gateio,coinex,phemex-spot,coinbasepro,bitget,huobipro,coinw,bydfi,crypto-com,kucoin,binance
binance-us,0.27,0.24,0.22,0.22,0.16,0.15,0.14,0.14,0.14,0.13,0.1,0.09
okx,0.26,0.22,0.21,0.2,0.14,0.13,0.13,0.13,0.13,0.11,0.09,0.08
exmo,0.24,0.2,0.19,0.18,0.12,0.11,0.11,0.11,0.11,0.09,0.07,0.06
bitmax,0.23,0.19,0.18,0.17,0.11,0.1,0.1,0.1,0.09,0.08,0.06,0.05
bybit-spot,0.21,0.17,0.16,0.16,0.09,0.09,0.08,0.08,0.08,0.06,0.04,0.03
btse,0.21,0.17,0.16,0.15,0.09,0.08,0.08,0.08,0.07,0.06,0.04,0.03
bingx,0.2,0.16,0.14,0.14,0.08,0.07,0.07,0.06,0.06,0.05,0.03,0.02
fmfwio,0.19,0.16,0.14,0.14,0.08,0.07,0.06,0.06,0.06,0.05,0.02,0.01
lbank,0.18,0.14,0.13,0.13,0.06,0.05,0.05,0.05,0.05,0.03,0.01,0.0
mxc,0.18,0.14,0.13,0.13,0.06,0.05,0.05,0.05,0.05,0.03,0.01,0.0
binance,0.18,0.14,0.13,0.13,0.06,0.05,0.05,0.05,0.05,0.03,0.01,0.17
kucoin,0.13,0.12,0.12,0.05,0.04,0.04,0.04,0.04,0.02,-0.01,0.0,0.0
