,binance,binance-us,gateio,okx,kucoin,huobipro,crypto-com,coinbasepro,lbank,fmfwio,bitget,coinw
mxc,0.27,0.27,0.25,0.25,0.24,0.23,0.21,0.21,0.21,0.18,0.17,0.16
coinex,0.19,0.19,0.17,0.17,0.16,0.15,0.13,0.13,0.13,0.1,0.09,0.08
btse,0.15,0.15,0.13,0.13,0.12,0.1,0.09,0.09,0.09,0.05,0.04,0.03
exmo,0.14,0.14,0.13,0.13,0.11,0.1,0.09,0.09,0.09,0.05,0.04,0.03
bitmax,0.13,0.13,0.12,0.12,0.1,0.09,0.08,0.08,0.08,0.04,0.03,0.02
cryptology,0.12,0.12,0.1,0.1,0.09,0.08,0.07,0.07,0.07,0.03,0.02,0.01
bybit-spot,0.12,0.12,0.1,0.1,0.09,0.08,0.07,0.07,0.07,0.03,0.02,0.01
bydfi,0.12,0.12,0.1,0.1,0.08,0.07,0.06,0.06,0.06,0.02,0.01,0.002
bingx,0.12,0.12,0.1,0.1,0.08,0.07,0.06,0.06,0.06,0.02,0.01,0.002
phemex-spot,0.12,0.12,0.1,0.1,0.08,0.07,0.06,0.06,0.06,0.02,0.01,0.002
coinw,0.11,0.11,0.09,0.09,0.08,0.07,0.06,0.06,0.06,0.02,0.01,0.1
bitget,0.1,0.08,0.08,0.07,0.06,0.05,0.05,0.05,0.01,-0.01,0.0,0.0
