,binance-us,cryptology,coinbasepro,binance,coinex,gateio,bingx,kucoin,btse,coinw,bitget,bybit-spot
lbank,0.65,0.65,0.61,0.59,0.57,0.55,0.53,0.51,0.46,0.44,0.39,0.36
exmo,0.57,0.57,0.53,0.51,0.49,0.48,0.46,0.43,0.38,0.36,0.31,0.28
mxc,0.51,0.51,0.47,0.46,0.43,0.42,0.4,0.37,0.33,0.31,0.25,0.22
okx,0.51,0.51,0.47,0.46,0.43,0.42,0.4,0.37,0.33,0.31,0.25,0.22
crypto-com,0.49,0.49,0.46,0.44,0.41,0.4,0.38,0.35,0.31,0.29,0.23,0.2
huobipro,0.39,0.39,0.35,0.33,0.31,0.3,0.28,0.25,0.2,0.18,0.13,0.1
fmfwio,0.34,0.34,0.3,0.28,0.26,0.24,0.23,0.2,0.15,0.13,0.08,0.05
phemex-spot,0.32,0.31,0.28,0.26,0.23,0.22,0.2,0.18,0.13,0.11,0.05,0.02
bitmax,0.3,0.29,0.26,0.24,0.21,0.2,0.18,0.16,0.11,0.09,0.03,0.0
bydfi,0.3,0.29,0.26,0.24,0.21,0.2,0.18,0.16,0.11,0.09,0.03,0.0
bybit-spot,0.3,0.29,0.26,0.24,0.21,0.2,0.18,0.16,0.11,0.09,0.03,0.27
bitget,0.26,0.23,0.21,0.18,0.17,0.15,0.12,0.08,0.06,-0.03,0.0,0.0
