,mxc,bybit-spot,kucoin,gateio,bydfi,lbank,bingx,coinex,binance,okx,cryptology,crypto-com
binance-us,0.51,0.48,0.48,0.47,0.47,0.47,0.45,0.42,0.41,0.41,0.4,0.39
bitmax,0.41,0.39,0.38,0.37,0.37,0.37,0.35,0.32,0.31,0.31,0.3,0.3
coinbasepro,0.25,0.23,0.23,0.21,0.21,0.21,0.19,0.16,0.16,0.16,0.14,0.14
exmo,0.18,0.16,0.15,0.14,0.14,0.14,0.12,0.09,0.08,0.08,0.07,0.06
fmfwio,0.16,0.14,0.13,0.12,0.12,0.12,0.1,0.07,0.06,0.06,0.05,0.05
bitget,0.16,0.14,0.13,0.12,0.12,0.12,0.1,0.07,0.06,0.06,0.05,0.05
btse,0.15,0.13,0.12,0.11,0.11,0.11,0.09,0.06,0.05,0.05,0.04,0.04
coinw,0.12,0.1,0.09,0.08,0.08,0.08,0.06,0.03,0.02,0.02,0.01,0.01
huobipro,0.12,0.1,0.09,0.08,0.08,0.08,0.06,0.03,0.02,0.02,0.01,0.01
phemex-spot,0.12,0.1,0.09,0.08,0.08,0.08,0.06,0.03,0.02,0.02,0.01,0.004
crypto-com,0.11,0.09,0.09,0.07,0.07,0.07,0.05,0.02,0.02,0.02,0.002,0.11
cryptology,0.09,0.08,0.07,0.07,0.07,0.05,0.02,0.01,0.01,-0.002,0.0,0.0
