,huobipro,bingx,kucoin,binance,bydfi,bitget,cryptology,fmfwio,okx,binance-us,mxc,crypto-com
coinbasepro,1.33,1.23,1.22,1.21,1.19,1.19,1.19,1.18,1.14,1.11,1.09,1.05
gateio,0.98,0.87,0.87,0.86,0.84,0.84,0.84,0.83,0.79,0.76,0.74,0.69
lbank,0.71,0.6,0.6,0.59,0.57,0.57,0.57,0.56,0.52,0.49,0.47,0.42
phemex-spot,0.67,0.57,0.57,0.55,0.54,0.54,0.54,0.53,0.49,0.45,0.44,0.39
coinex,0.52,0.42,0.42,0.4,0.38,0.38,0.38,0.37,0.33,0.3,0.28,0.24
coinw,0.46,0.36,0.36,0.34,0.33,0.33,0.33,0.32,0.28,0.24,0.23,0.18
exmo,0.38,0.28,0.27,0.26,0.24,0.24,0.24,0.23,0.19,0.16,0.14,0.09
bitmax,0.37,0.27,0.27,0.25,0.24,0.24,0.24,0.23,0.18,0.15,0.13,0.09
bybit-spot,0.34,0.24,0.23,0.22,0.2,0.2,0.2,0.19,0.15,0.12,0.1,0.05
btse,0.33,0.23,0.23,0.21,0.2,0.2,0.2,0.19,0.15,0.11,0.1,0.05
crypto-com,0.29,0.18,0.18,0.17,0.15,0.15,0.15,0.14,0.1,0.07,0.05,0.24
mxc,0.13,0.13,0.12,0.1,0.1,0.1,0.09,0.05,0.02,-0.05,0.0,0.0
