,bybit-spot,coinw,exmo,bydfi,coinex,huobipro,gateio,bitget,fmfwio,mxc,cryptology,coinbasepro
binance-us,0.6,0.51,0.48,0.36,0.34,0.29,0.28,0.25,0.24,0.23,0.23,0.22
crypto-com,0.51,0.42,0.39,0.28,0.26,0.21,0.2,0.16,0.15,0.15,0.14,0.13
phemex-spot,0.5,0.41,0.38,0.26,0.24,0.19,0.18,0.15,0.14,0.13,0.13,0.12
btse,0.49,0.4,0.37,0.26,0.24,0.19,0.18,0.14,0.13,0.13,0.12,0.11
bitmax,0.46,0.38,0.35,0.23,0.21,0.16,0.15,0.11,0.11,0.1,0.09,0.08
lbank,0.43,0.34,0.31,0.2,0.18,0.13,0.12,0.08,0.07,0.07,0.06,0.05
bingx,0.43,0.34,0.31,0.2,0.18,0.13,0.12,0.08,0.07,0.07,0.06,0.05
okx,0.43,0.34,0.31,0.2,0.18,0.13,0.12,0.08,0.07,0.07,0.06,0.05
kucoin,0.41,0.33,0.3,0.18,0.16,0.11,0.1,0.06,0.06,0.05,0.04,0.03
binance,0.41,0.33,0.3,0.18,0.16,0.11,0.1,0.06,0.06,0.05,0.04,0.03
coinbasepro,0.38,0.29,0.26,0.15,0.13,0.08,0.07,0.03,0.02,0.02,0.01,0.37
cryptology,0.28,0.25,0.14,0.12,0.07,0.05,0.02,0.01,0.005,-0.01,0.0,0.0
