,btse,crypto-com,bitmax,bingx,fmfwio,okx,mxc,huobipro,bydfi,bitget,bybit-spot,kucoin
coinex,0.84,0.66,0.39,0.34,0.33,0.31,0.29,0.28,0.27,0.27,0.26,0.26
cryptology,0.79,0.61,0.34,0.29,0.28,0.25,0.24,0.23,0.22,0.21,0.21,0.2
exmo,0.74,0.56,0.29,0.24,0.23,0.21,0.19,0.18,0.17,0.17,0.16,0.16
binance-us,0.7,0.52,0.25,0.2,0.19,0.17,0.15,0.14,0.13,0.13,0.12,0.12
gateio,0.67,0.49,0.21,0.17,0.16,0.13,0.12,0.11,0.1,0.09,0.09,0.08
coinw,0.67,0.48,0.21,0.16,0.15,0.13,0.11,0.1,0.1,0.09,0.08,0.08
coinbasepro,0.64,0.45,0.18,0.13,0.12,0.1,0.08,0.07,0.07,0.06,0.05,0.05
lbank,0.62,0.44,0.17,0.12,0.11,0.08,0.07,0.06,0.05,0.04,0.04,0.03
binance,0.62,0.44,0.17,0.12,0.11,0.08,0.07,0.06,0.05,0.04,0.04,0.03
phemex-spot,0.59,0.4,0.13,0.08,0.07,0.05,0.03,0.02,0.02,0.01,0.003,0.0
kucoin,0.59,0.4,0.13,0.08,0.07,0.05,0.03,0.02,0.02,0.01,0.003,0.58
bybit-spot,0.4,0.13,0.08,0.07,0.05,0.03,0.02,0.01,0.01,-0.003,0.0,0.0
