,bybit-spot,crypto-com,phemex-spot,coinw,binance-us,coinbasepro,cryptology,huobipro,gateio,bydfi,mxc,lbank
bitget,0.54,0.49,0.49,0.43,0.41,0.39,0.37,0.3,0.29,0.26,0.26,0.26
binance,0.46,0.41,0.41,0.35,0.33,0.31,0.28,0.22,0.21,0.18,0.18,0.18
fmfwio,0.44,0.4,0.4,0.34,0.31,0.3,0.27,0.21,0.2,0.17,0.17,0.17
bingx,0.39,0.35,0.34,0.28,0.26,0.24,0.22,0.15,0.15,0.11,0.11,0.11
exmo,0.39,0.35,0.34,0.28,0.26,0.24,0.22,0.15,0.15,0.11,0.11,0.11
bitmax,0.37,0.33,0.33,0.27,0.24,0.23,0.2,0.14,0.13,0.1,0.1,0.1
coinex,0.37,0.33,0.32,0.27,0.24,0.23,0.2,0.14,0.13,0.1,0.1,0.1
btse,0.32,0.28,0.27,0.21,0.19,0.17,0.15,0.08,0.08,0.04,0.04,0.04
kucoin,0.31,0.27,0.26,0.2,0.18,0.16,0.14,0.07,0.07,0.03,0.03,0.03
okx,0.29,0.25,0.24,0.19,0.16,0.15,0.12,0.06,0.05,0.02,0.02,0.02
lbank,0.28,0.23,0.23,0.17,0.15,0.13,0.11,0.04,0.03,0.0,0.0,0.28
mxc,0.23,0.23,0.17,0.15,0.13,0.11,0.04,0.03,0.0,0.0,0.0,0.0
