,coinbasepro,crypto-com,kucoin,cryptology,bydfi,binance,gateio,mxc,exmo,fmfwio,phemex-spot,coinw
bitmax,0.6,0.57,0.55,0.55,0.53,0.48,0.48,0.44,0.42,0.38,0.36,0.31
bitget,0.47,0.44,0.42,0.42,0.4,0.36,0.36,0.31,0.29,0.25,0.23,0.18
lbank,0.45,0.42,0.4,0.4,0.39,0.34,0.34,0.29,0.27,0.24,0.21,0.17
okx,0.42,0.39,0.37,0.37,0.36,0.31,0.31,0.26,0.24,0.21,0.18,0.13
coinex,0.41,0.38,0.36,0.36,0.35,0.3,0.3,0.25,0.23,0.2,0.17,0.13
btse,0.38,0.35,0.33,0.33,0.32,0.27,0.27,0.22,0.2,0.17,0.14,0.1
huobipro,0.37,0.34,0.32,0.32,0.31,0.26,0.26,0.21,0.19,0.16,0.13,0.09
bybit-spot,0.36,0.33,0.31,0.31,0.3,0.25,0.25,0.2,0.18,0.15,0.12,0.07
bingx,0.32,0.29,0.27,0.27,0.26,0.21,0.21,0.16,0.14,0.11,0.08,0.04
binance-us,0.29,0.26,0.24,0.24,0.23,0.18,0.18,0.13,0.11,0.08,0.05,0.005
coinw,0.29,0.25,0.24,0.24,0.22,0.17,0.17,0.12,0.11,0.07,0.04,0.24
phemex-spot,0.21,0.19,0.19,0.18,0.13,0.13,0.08,0.06,0.03,-0.04,0.0,0.0
