,xeggex,exmo,btcturk-pro,kraken,cryptology,coinbasepro,coinlist,okx,kucoin,binance-us,p2pb2b,phemex-spot
coinegg,26.7,25.9,25.8,25.7,25.7,25.6,25.6,25.6,25.4,25.4,25.4,25.4
cex,3.37,2.31,2.21,2.03,2.02,1.93,1.92,1.88,1.7,1.7,1.69,1.66
bitmax,2.01,0.93,0.83,0.64,0.64,0.55,0.54,0.49,0.31,0.31,0.3,0.27
crypto-com,1.96,0.88,0.78,0.59,0.59,0.5,0.49,0.44,0.26,0.26,0.24,0.21
fastex,1.92,0.84,0.74,0.56,0.55,0.46,0.45,0.4,0.23,0.22,0.21,0.18
coinex,1.89,0.82,0.71,0.53,0.52,0.43,0.42,0.37,0.2,0.2,0.18,0.15
gateio,1.88,0.8,0.7,0.51,0.51,0.42,0.41,0.36,0.18,0.18,0.16,0.13
huobipro,1.85,0.78,0.68,0.49,0.48,0.39,0.38,0.34,0.16,0.16,0.14,0.11
tidex,1.85,0.78,0.67,0.49,0.48,0.39,0.38,0.33,0.16,0.15,0.14,0.11
bydfi,1.82,0.74,0.64,0.45,0.45,0.36,0.35,0.3,0.12,0.12,0.1,0.07
bingx,1.8,0.73,0.62,0.44,0.43,0.34,0.33,0.28,0.11,0.1,0.09,0.06
binance,1.8,0.73,0.62,0.44,0.43,0.34,0.33,0.28,0.11,0.1,0.09,0.06
