,xeggex,exmo,btcturk-pro,okx,gateio,phemex-spot,bydfi,bitget,huobipro,bitmax,crypto-com,binance
coinegg,26.5,25.9,25.8,25.6,25.6,25.6,25.6,25.5,25.5,25.5,25.5,25.5
cex,3.16,2.31,2.21,1.93,1.89,1.88,1.88,1.86,1.86,1.85,1.82,1.82
binance-us,1.54,0.68,0.58,0.3,0.25,0.24,0.24,0.23,0.22,0.21,0.19,0.18
tidex,1.53,0.67,0.56,0.28,0.24,0.22,0.22,0.21,0.21,0.2,0.17,0.16
coinlist,1.48,0.62,0.52,0.24,0.19,0.18,0.18,0.17,0.16,0.15,0.13,0.12
kraken,1.48,0.62,0.52,0.24,0.19,0.18,0.18,0.17,0.16,0.15,0.13,0.12
kucoin,1.48,0.62,0.51,0.23,0.19,0.17,0.17,0.16,0.15,0.15,0.12,0.11
cryptology,1.45,0.59,0.49,0.21,0.16,0.15,0.15,0.14,0.13,0.12,0.1,0.09
p2pb2b,1.44,0.58,0.47,0.19,0.15,0.13,0.13,0.12,0.12,0.11,0.08,0.07
oceanex,1.42,0.55,0.45,0.17,0.13,0.11,0.11,0.1,0.09,0.08,0.06,0.05
fastex,1.4,0.53,0.43,0.15,0.1,0.09,0.09,0.08,0.07,0.06,0.04,0.03
coinbasepro,1.4,0.53,0.43,0.15,0.1,0.09,0.09,0.08,0.07,0.06,0.04,0.03
