,xeggex,exmo,btcturk-pro,kraken,binance-us,coinbasepro,coinlist,bydfi,bitget,huobipro,crypto-com,fastex
coinegg,26.5,25.9,25.8,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.4
cex,3.16,2.31,2.21,1.86,1.8,1.79,1.77,1.76,1.76,1.75,1.75,1.73
phemex-spot,1.69,0.83,0.73,0.37,0.31,0.3,0.28,0.27,0.27,0.26,0.26,0.24
bitmax,1.68,0.82,0.72,0.37,0.31,0.29,0.27,0.26,0.26,0.26,0.25,0.23
cryptology,1.62,0.76,0.65,0.3,0.24,0.22,0.2,0.19,0.19,0.19,0.19,0.16
coinex,1.59,0.72,0.62,0.27,0.21,0.19,0.17,0.16,0.16,0.16,0.16,0.13
tidex,1.54,0.68,0.58,0.22,0.16,0.15,0.13,0.12,0.12,0.11,0.11,0.09
oceanex,1.53,0.67,0.57,0.21,0.15,0.14,0.12,0.11,0.11,0.1,0.1,0.08
gateio,1.51,0.65,0.55,0.2,0.13,0.12,0.1,0.09,0.09,0.08,0.08,0.06
okx,1.51,0.65,0.55,0.2,0.13,0.12,0.1,0.09,0.09,0.08,0.08,0.06
kucoin,1.5,0.64,0.54,0.18,0.12,0.11,0.09,0.08,0.08,0.07,0.07,0.05
bingx,1.5,0.64,0.53,0.18,0.12,0.1,0.08,0.07,0.07,0.07,0.07,0.04
