,cex,xeggex,coinlist,bitmax,cryptology,btcturk-pro,binance-us,okx,crypto-com,binance,gateio,huobipro
coinegg,19.4,19.0,18.8,18.8,18.6,18.6,18.6,18.6,18.5,18.5,18.5,18.5
coinbasepro,1.29,0.87,0.61,0.58,0.42,0.37,0.34,0.31,0.3,0.29,0.29,0.29
exmo,1.24,0.83,0.56,0.53,0.37,0.33,0.29,0.26,0.26,0.24,0.24,0.24
fastex,1.18,0.76,0.5,0.46,0.31,0.26,0.23,0.2,0.19,0.18,0.18,0.17
p2pb2b,1.08,0.66,0.4,0.37,0.21,0.16,0.13,0.1,0.09,0.08,0.08,0.08
oceanex,1.07,0.66,0.39,0.36,0.2,0.15,0.12,0.09,0.08,0.07,0.07,0.07
bybit-spot,1.06,0.65,0.38,0.35,0.2,0.15,0.11,0.08,0.08,0.07,0.07,0.06
bitget,1.05,0.64,0.37,0.34,0.18,0.14,0.1,0.07,0.07,0.05,0.05,0.05
bingx,1.05,0.63,0.37,0.33,0.18,0.13,0.1,0.07,0.06,0.05,0.05,0.04
tidex,1.04,0.63,0.36,0.33,0.17,0.13,0.09,0.06,0.06,0.04,0.04,0.04
kucoin,1.03,0.62,0.35,0.32,0.16,0.12,0.08,0.05,0.05,0.03,0.03,0.03
bydfi,1.03,0.62,0.35,0.32,0.16,0.11,0.08,0.05,0.04,0.03,0.03,0.03
