,bitmax,btcturk-pro,cryptology,coinlist,gateio,bybit-spot,coinbasepro,bingx,binance-us,kraken,oceanex,bydfi
cex,5.16,4.95,4.92,4.87,4.86,4.84,4.83,4.79,4.78,4.75,4.73,4.73
xeggex,4.51,4.3,4.27,4.22,4.21,4.19,4.18,4.14,4.13,4.1,4.09,4.08
fastex,0.65,0.43,0.4,0.35,0.33,0.32,0.3,0.27,0.25,0.22,0.2,0.2
okx,0.6,0.38,0.35,0.3,0.28,0.27,0.25,0.22,0.2,0.17,0.15,0.15
kucoin,0.58,0.36,0.33,0.27,0.26,0.24,0.23,0.19,0.18,0.15,0.13,0.13
coinex,0.56,0.34,0.31,0.26,0.24,0.23,0.21,0.18,0.16,0.13,0.11,0.11
phemex-spot,0.5,0.28,0.25,0.2,0.18,0.17,0.15,0.12,0.1,0.07,0.05,0.05
binance,0.5,0.28,0.25,0.2,0.18,0.17,0.15,0.12,0.1,0.07,0.05,0.05
crypto-com,0.5,0.28,0.24,0.19,0.18,0.16,0.14,0.11,0.09,0.06,0.05,0.04
tidex,0.48,0.26,0.23,0.18,0.16,0.15,0.13,0.1,0.08,0.05,0.04,0.03
p2pb2b,0.47,0.25,0.22,0.16,0.15,0.13,0.12,0.08,0.07,0.03,0.02,0.02
bitget,0.46,0.24,0.2,0.15,0.14,0.12,0.1,0.07,0.05,0.02,0.01,0.005
