,bitmax,coinex,binance-us,kraken,bitget,phemex-spot,coinlist,kucoin,bydfi,okx,crypto-com,binance
cex,5.89,5.78,5.7,5.68,5.64,5.64,5.63,5.62,5.61,5.61,5.6,5.58
xeggex,1.6,1.48,1.4,1.38,1.34,1.34,1.32,1.31,1.3,1.3,1.29,1.27
exmo,0.79,0.68,0.59,0.57,0.53,0.53,0.51,0.5,0.5,0.5,0.49,0.46
btcturk-pro,0.73,0.61,0.53,0.5,0.46,0.46,0.45,0.44,0.43,0.43,0.42,0.4
coinbasepro,0.63,0.51,0.43,0.4,0.36,0.36,0.35,0.34,0.33,0.33,0.32,0.3
cryptology,0.43,0.31,0.23,0.21,0.16,0.16,0.15,0.14,0.13,0.13,0.12,0.1
fastex,0.35,0.23,0.15,0.12,0.08,0.08,0.07,0.06,0.05,0.05,0.04,0.02
p2pb2b,0.35,0.23,0.15,0.12,0.08,0.08,0.07,0.06,0.05,0.05,0.04,0.02
huobipro,0.34,0.22,0.14,0.11,0.07,0.07,0.05,0.05,0.04,0.04,0.03,0.003
bingx,0.33,0.21,0.13,0.11,0.07,0.07,0.05,0.04,0.03,0.03,0.02,0.0
gateio,0.33,0.21,0.13,0.11,0.07,0.07,0.05,0.04,0.03,0.03,0.02,0.0
tidex,0.33,0.21,0.13,0.11,0.07,0.07,0.05,0.04,0.03,0.03,0.02,0.0
