,exmo,bitmax,cryptology,phemex-spot,coinex,kucoin,bingx,bitget,okx,binance,p2pb2b,fastex
xeggex,2.41,2.31,2.26,2.25,2.23,2.21,2.2,2.19,2.18,2.17,2.17,2.17
bydfi,0.33,0.22,0.17,0.15,0.14,0.11,0.11,0.1,0.09,0.08,0.08,0.08
bybit-spot,0.33,0.22,0.17,0.15,0.14,0.11,0.11,0.1,0.09,0.08,0.08,0.08
crypto-com,0.32,0.21,0.17,0.15,0.13,0.11,0.1,0.09,0.09,0.07,0.07,0.07
kraken,0.31,0.2,0.16,0.14,0.13,0.1,0.1,0.08,0.08,0.07,0.07,0.07
binance-us,0.3,0.19,0.14,0.12,0.11,0.08,0.08,0.07,0.06,0.05,0.05,0.05
coinbasepro,0.3,0.19,0.14,0.12,0.11,0.08,0.08,0.07,0.06,0.05,0.05,0.05
gateio,0.3,0.19,0.14,0.12,0.11,0.08,0.08,0.07,0.06,0.05,0.05,0.05
btcturk-pro,0.26,0.15,0.11,0.09,0.08,0.05,0.05,0.03,0.03,0.02,0.02,0.02
huobipro,0.26,0.15,0.11,0.09,0.07,0.05,0.04,0.03,0.03,0.01,0.01,0.01
coinlist,0.26,0.15,0.1,0.09,0.07,0.05,0.04,0.03,0.03,0.01,0.01,0.01
tidex,0.25,0.14,0.1,0.08,0.07,0.04,0.04,0.02,0.02,0.01,0.01,0.01
