,exmo,bitmax,okx,p2pb2b,fastex,huobipro,btcturk-pro,coinlist,tidex,gateio,coinbasepro,binance-us
xeggex,3.31,3.2,3.08,3.07,3.07,3.05,3.05,3.05,3.03,3.02,3.02,3.02
phemex-spot,0.56,0.45,0.33,0.31,0.31,0.3,0.29,0.29,0.27,0.26,0.26,0.26
bydfi,0.54,0.43,0.31,0.29,0.29,0.28,0.28,0.27,0.25,0.25,0.25,0.25
bitget,0.47,0.36,0.24,0.22,0.22,0.21,0.2,0.2,0.18,0.17,0.17,0.17
coinex,0.45,0.34,0.21,0.2,0.2,0.18,0.18,0.18,0.16,0.15,0.15,0.15
crypto-com,0.43,0.32,0.2,0.18,0.18,0.17,0.17,0.16,0.14,0.13,0.13,0.13
bybit-spot,0.39,0.28,0.15,0.14,0.14,0.13,0.12,0.12,0.1,0.09,0.09,0.09
kraken,0.39,0.28,0.15,0.14,0.14,0.12,0.12,0.11,0.1,0.09,0.09,0.09
bingx,0.37,0.26,0.14,0.12,0.12,0.11,0.11,0.1,0.08,0.08,0.08,0.08
binance,0.36,0.25,0.12,0.11,0.11,0.09,0.09,0.09,0.07,0.06,0.06,0.06
kucoin,0.34,0.24,0.11,0.1,0.1,0.08,0.08,0.07,0.05,0.05,0.05,0.05
cryptology,0.34,0.23,0.11,0.09,0.09,0.08,0.08,0.07,0.05,0.05,0.05,0.05
