,exmo,bybit-spot,btcturk-pro,bydfi,gateio,crypto-com,phemex-spot,bitget,huobipro,fastex,p2pb2b,kucoin
xeggex,2.69,2.53,2.41,2.36,2.32,2.29,2.27,2.27,2.25,2.24,2.23,2.22
coinbasepro,0.83,0.66,0.54,0.49,0.45,0.42,0.4,0.39,0.38,0.37,0.36,0.35
tidex,0.79,0.62,0.5,0.45,0.41,0.38,0.36,0.35,0.34,0.33,0.31,0.31
kraken,0.73,0.57,0.44,0.4,0.35,0.32,0.3,0.3,0.28,0.27,0.26,0.25
cryptology,0.63,0.46,0.34,0.29,0.25,0.22,0.2,0.19,0.18,0.17,0.15,0.15
binance-us,0.57,0.4,0.28,0.23,0.19,0.16,0.14,0.13,0.11,0.11,0.09,0.09
binance,0.57,0.4,0.28,0.23,0.19,0.16,0.14,0.13,0.11,0.11,0.09,0.09
coinex,0.56,0.39,0.27,0.23,0.18,0.15,0.13,0.13,0.11,0.1,0.09,0.08
coinlist,0.53,0.36,0.24,0.19,0.14,0.12,0.1,0.09,0.07,0.07,0.05,0.04
bitmax,0.51,0.35,0.22,0.18,0.13,0.1,0.08,0.08,0.06,0.05,0.04,0.03
bingx,0.51,0.34,0.22,0.17,0.12,0.1,0.08,0.07,0.05,0.05,0.03,0.02
okx,0.49,0.32,0.2,0.15,0.11,0.08,0.06,0.05,0.04,0.03,0.02,0.01
