,kucoin,tidex,bydfi,bybit-spot,kraken,crypto-com,binance,p2pb2b,fastex,coinex,coinlist,okx
xeggex,2.6,2.57,2.53,2.5,2.48,2.46,2.45,2.45,2.45,2.43,2.43,2.42
binance-us,0.47,0.45,0.4,0.37,0.35,0.33,0.32,0.32,0.32,0.3,0.3,0.29
coinbasepro,0.43,0.4,0.35,0.32,0.3,0.28,0.28,0.28,0.28,0.26,0.26,0.25
exmo,0.34,0.31,0.26,0.23,0.21,0.19,0.19,0.19,0.19,0.17,0.17,0.16
phemex-spot,0.29,0.26,0.22,0.19,0.17,0.14,0.14,0.14,0.14,0.12,0.12,0.11
bingx,0.24,0.22,0.17,0.14,0.12,0.1,0.09,0.09,0.09,0.07,0.07,0.06
gateio,0.21,0.19,0.14,0.11,0.09,0.07,0.06,0.06,0.06,0.04,0.04,0.03
bitget,0.2,0.17,0.13,0.1,0.08,0.06,0.05,0.05,0.05,0.03,0.03,0.02
btcturk-pro,0.2,0.17,0.12,0.09,0.07,0.05,0.05,0.05,0.05,0.03,0.03,0.02
huobipro,0.18,0.16,0.11,0.08,0.06,0.04,0.03,0.03,0.03,0.01,0.01,0.003
bitmax,0.18,0.16,0.11,0.08,0.06,0.04,0.03,0.03,0.03,0.01,0.01,0.002
cryptology,0.18,0.15,0.11,0.08,0.06,0.04,0.03,0.03,0.03,0.01,0.01,0.0
