,bydfi,gateio,bitget,huobipro,kucoin,binance,p2pb2b,bitmax,bybit-spot,tidex,bingx,kraken
xeggex,1.33,1.33,1.31,1.3,1.29,1.28,1.28,1.25,1.25,1.25,1.25,1.22
btcturk-pro,0.62,0.62,0.6,0.59,0.59,0.58,0.58,0.55,0.54,0.54,0.54,0.52
binance-us,0.5,0.5,0.47,0.46,0.46,0.45,0.45,0.42,0.42,0.42,0.42,0.39
cryptology,0.21,0.21,0.19,0.18,0.17,0.16,0.16,0.13,0.13,0.13,0.13,0.1
coinlist,0.2,0.2,0.18,0.17,0.17,0.16,0.16,0.12,0.12,0.12,0.12,0.1
coinbasepro,0.19,0.19,0.17,0.16,0.16,0.14,0.14,0.11,0.11,0.11,0.11,0.09
phemex-spot,0.16,0.16,0.14,0.13,0.12,0.11,0.11,0.08,0.08,0.08,0.08,0.06
crypto-com,0.16,0.16,0.14,0.13,0.12,0.11,0.11,0.08,0.08,0.08,0.08,0.06
fastex,0.14,0.14,0.12,0.11,0.11,0.1,0.1,0.07,0.06,0.06,0.06,0.04
exmo,0.13,0.13,0.11,0.1,0.09,0.08,0.08,0.05,0.05,0.05,0.05,0.03
coinex,0.12,0.12,0.1,0.09,0.08,0.07,0.07,0.04,0.04,0.04,0.04,0.02
okx,0.11,0.11,0.09,0.08,0.08,0.06,0.06,0.03,0.03,0.03,0.03,0.01
