,btcturk-pro,crypto-com,coinbasepro,bitmax,p2pb2b,exmo,binance-us,kraken,bingx,kucoin,okx,bydfi
cryptology,0.75,0.61,0.61,0.59,0.35,0.35,0.32,0.3,0.29,0.29,0.26,0.26
coinex,0.7,0.56,0.55,0.54,0.3,0.3,0.27,0.25,0.24,0.23,0.2,0.2
coinlist,0.63,0.49,0.49,0.47,0.24,0.23,0.2,0.19,0.17,0.17,0.14,0.14
binance,0.62,0.48,0.48,0.46,0.22,0.22,0.19,0.18,0.16,0.16,0.13,0.13
gateio,0.61,0.46,0.46,0.45,0.21,0.21,0.18,0.16,0.14,0.14,0.11,0.11
huobipro,0.56,0.42,0.42,0.4,0.16,0.16,0.13,0.11,0.1,0.09,0.07,0.07
phemex-spot,0.56,0.42,0.42,0.4,0.16,0.16,0.13,0.11,0.1,0.09,0.06,0.06
bybit-spot,0.54,0.4,0.4,0.38,0.14,0.14,0.11,0.1,0.08,0.08,0.05,0.05
bitget,0.54,0.4,0.4,0.38,0.14,0.14,0.11,0.09,0.08,0.07,0.04,0.04
tidex,0.53,0.39,0.39,0.37,0.13,0.13,0.1,0.09,0.07,0.07,0.04,0.04
xeggex,0.53,0.38,0.38,0.37,0.13,0.13,0.1,0.08,0.06,0.06,0.03,0.03
fastex,0.49,0.35,0.35,0.34,0.1,0.09,0.06,0.05,0.03,0.03,0.0,0.0
