,coinlist,phemex-spot,fastex,binance,p2pb2b,tidex,bingx,coinex,gateio,kucoin,btcturk-pro,bydfi
xeggex,1.43,1.4,1.4,1.39,1.39,1.39,1.37,1.37,1.36,1.35,1.34,1.33
binance-us,0.34,0.31,0.31,0.3,0.3,0.3,0.28,0.28,0.27,0.26,0.25,0.23
huobipro,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.22,0.21,0.2,0.19
kraken,0.26,0.24,0.24,0.22,0.22,0.22,0.21,0.21,0.19,0.18,0.17,0.16
bitmax,0.25,0.22,0.22,0.21,0.21,0.21,0.19,0.19,0.17,0.17,0.16,0.14
coinbasepro,0.24,0.22,0.22,0.2,0.2,0.2,0.19,0.19,0.17,0.17,0.16,0.14
bybit-spot,0.23,0.2,0.2,0.19,0.19,0.19,0.17,0.17,0.16,0.15,0.14,0.12
bitget,0.16,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.09,0.09,0.08,0.06
exmo,0.15,0.12,0.12,0.11,0.11,0.11,0.09,0.09,0.08,0.07,0.06,0.05
cryptology,0.12,0.09,0.09,0.08,0.08,0.08,0.06,0.06,0.05,0.04,0.03,0.02
okx,0.12,0.09,0.09,0.08,0.08,0.08,0.06,0.06,0.05,0.04,0.03,0.02
crypto-com,0.11,0.09,0.09,0.07,0.07,0.07,0.05,0.05,0.04,0.03,0.02,0.01
