,fatbtc,cex,bitstamp,coinsbit,btcturk-pro,coinbasepro,xeggex,okx,binance-us,gateio,exmo,kraken
yobit,39.7,1.07,0.45,0.32,0.32,0.3,0.28,0.28,0.28,0.28,0.27,0.27
btcalpha,39.6,0.89,0.27,0.14,0.14,0.12,0.1,0.1,0.1,0.09,0.09,0.09
bitmax,39.6,0.88,0.26,0.13,0.13,0.11,0.09,0.09,0.09,0.08,0.08,0.08
fastex,39.6,0.85,0.23,0.1,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.05
bingx,39.6,0.85,0.23,0.1,0.1,0.08,0.07,0.06,0.06,0.06,0.05,0.05
bitget,39.6,0.85,0.23,0.1,0.1,0.08,0.06,0.06,0.06,0.06,0.05,0.05
crypto-com,39.6,0.84,0.22,0.09,0.09,0.07,0.06,0.05,0.05,0.05,0.05,0.04
kucoin,39.6,0.84,0.22,0.09,0.09,0.07,0.05,0.05,0.05,0.04,0.04,0.04
huobipro,39.6,0.83,0.22,0.09,0.09,0.07,0.05,0.04,0.04,0.04,0.04,0.03
phemex-spot,39.6,0.83,0.21,0.08,0.08,0.06,0.04,0.04,0.04,0.04,0.03,0.03
binance,39.6,0.83,0.21,0.08,0.08,0.06,0.04,0.04,0.04,0.04,0.03,0.03
oceanex,39.6,0.82,0.2,0.07,0.07,0.05,0.04,0.03,0.03,0.03,0.03,0.02
