,fatbtc,cex,exmo,bybit-spot,binance,coinsbit,okx,bingx,phemex-spot,coinbasepro,binance-us,btcalpha
xeggex,40.0,1.39,0.72,0.71,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.67
yobit,39.8,1.07,0.39,0.38,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.34
bitstamp,39.7,0.89,0.22,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17
kucoin,39.7,0.85,0.17,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13
oceanex,39.7,0.82,0.15,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1
bitmax,39.7,0.8,0.12,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07
bydfi,39.7,0.77,0.09,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05
tidex,39.7,0.77,0.09,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05
bitget,39.7,0.77,0.09,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.04
huobipro,39.7,0.75,0.08,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03
kraken,39.7,0.75,0.07,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03
btcturk-pro,39.7,0.75,0.07,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03
