,fatbtc,cex,phemex-spot,binance-us,bitstamp,btcturk-pro,bydfi,crypto-com,exmo,bitget,gateio,coinsbit
xeggex,39.8,1.07,0.36,0.36,0.33,0.32,0.3,0.3,0.3,0.28,0.27,0.26
yobit,39.8,1.07,0.36,0.36,0.32,0.32,0.3,0.29,0.29,0.28,0.27,0.26
btcalpha,39.7,0.93,0.22,0.22,0.19,0.18,0.16,0.16,0.15,0.14,0.13,0.12
bitmax,39.7,0.87,0.16,0.16,0.13,0.12,0.1,0.1,0.1,0.08,0.07,0.06
coinbasepro,39.7,0.83,0.12,0.12,0.09,0.08,0.06,0.06,0.05,0.04,0.03,0.02
bingx,39.7,0.83,0.12,0.12,0.09,0.08,0.06,0.06,0.05,0.04,0.03,0.02
okx,39.7,0.83,0.12,0.12,0.09,0.08,0.06,0.06,0.05,0.04,0.03,0.02
binance,39.7,0.83,0.12,0.12,0.09,0.08,0.06,0.06,0.05,0.04,0.03,0.02
kraken,39.7,0.83,0.12,0.12,0.08,0.08,0.06,0.05,0.05,0.04,0.02,0.02
oceanex,39.7,0.82,0.11,0.11,0.08,0.07,0.05,0.05,0.05,0.03,0.02,0.01
kucoin,39.7,0.82,0.11,0.11,0.07,0.07,0.05,0.04,0.04,0.03,0.02,0.01
huobipro,39.7,0.82,0.11,0.11,0.07,0.07,0.05,0.04,0.04,0.03,0.02,0.01
