,fatbtc,yobit,xeggex,bitmax,crypto-com,huobipro,kucoin,binance,gateio,probit,coinbasepro,bitstamp
cex,38.3,2.35,1.8,1.55,1.49,1.49,1.48,1.48,1.48,1.48,1.48,1.48
phemex-spot,37.5,1.04,0.48,0.23,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16
tidex,37.4,1.02,0.46,0.21,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14
coinsbit,37.4,1.02,0.46,0.21,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14
fastex,37.4,1.0,0.44,0.19,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12
bingx,37.4,1.0,0.44,0.19,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12
okx,37.4,1.0,0.44,0.19,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12
btcalpha,37.4,0.98,0.43,0.18,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11
exmo,37.4,0.98,0.43,0.17,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11
bitso,37.4,0.96,0.41,0.15,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08
btcturk-pro,37.4,0.96,0.4,0.15,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08
oceanex,37.4,0.95,0.4,0.14,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
