,fatbtc,xeggex,btcturk-pro,coinbasepro,crypto-com,binance-us,bitso,kraken,fastex,kucoin,gateio,binance
yobit,36.0,1.01,0.62,0.56,0.49,0.49,0.49,0.46,0.45,0.44,0.44,0.42
bitstamp,35.9,0.83,0.45,0.38,0.31,0.31,0.31,0.28,0.27,0.26,0.26,0.25
cex,35.8,0.81,0.42,0.35,0.29,0.29,0.29,0.25,0.24,0.24,0.23,0.22
okx,35.8,0.72,0.33,0.27,0.2,0.2,0.2,0.17,0.16,0.15,0.15,0.13
btcalpha,35.8,0.7,0.31,0.25,0.18,0.18,0.18,0.15,0.14,0.13,0.13,0.11
exmo,35.7,0.67,0.28,0.21,0.15,0.15,0.15,0.11,0.1,0.1,0.09,0.08
bitget,35.7,0.66,0.27,0.21,0.14,0.14,0.14,0.1,0.09,0.09,0.08,0.07
phemex-spot,35.7,0.63,0.25,0.18,0.11,0.11,0.11,0.08,0.07,0.06,0.06,0.04
huobipro,35.7,0.62,0.24,0.17,0.1,0.1,0.1,0.07,0.06,0.05,0.05,0.04
oceanex,35.7,0.62,0.23,0.16,0.1,0.1,0.1,0.06,0.05,0.05,0.04,0.03
bingx,35.7,0.61,0.22,0.16,0.09,0.09,0.09,0.05,0.04,0.04,0.03,0.02
probit,35.7,0.61,0.22,0.16,0.09,0.09,0.09,0.05,0.04,0.04,0.03,0.02
