,fatbtc,xeggex,exmo,btcalpha,btcturk-pro,bitstamp,probit,bitget,fastex,oceanex,coinsbit,kucoin
yobit,34.1,2.94,2.89,2.83,2.83,2.8,2.79,2.78,2.75,2.74,2.74,2.73
cex,32.7,0.93,0.89,0.82,0.82,0.79,0.78,0.77,0.74,0.73,0.73,0.72
okx,32.4,0.38,0.34,0.28,0.27,0.25,0.23,0.23,0.19,0.18,0.18,0.17
bitso,32.3,0.36,0.32,0.25,0.25,0.22,0.21,0.2,0.17,0.16,0.16,0.15
crypto-com,32.3,0.35,0.3,0.24,0.24,0.21,0.19,0.19,0.15,0.14,0.14,0.13
tidex,32.3,0.34,0.3,0.23,0.23,0.21,0.19,0.18,0.15,0.14,0.14,0.13
binance,32.3,0.34,0.3,0.23,0.23,0.21,0.19,0.18,0.15,0.14,0.14,0.13
huobipro,32.3,0.32,0.27,0.21,0.2,0.18,0.16,0.16,0.12,0.11,0.11,0.1
kraken,32.3,0.3,0.25,0.19,0.19,0.16,0.14,0.14,0.1,0.09,0.09,0.08
coinbasepro,32.3,0.28,0.24,0.17,0.17,0.14,0.13,0.12,0.08,0.08,0.07,0.06
bitmax,32.3,0.28,0.24,0.17,0.17,0.14,0.13,0.12,0.08,0.08,0.07,0.06
gateio,32.3,0.23,0.19,0.12,0.12,0.09,0.08,0.07,0.04,0.03,0.03,0.02
