,fatbtc,bitstamp,xeggex,coinbasepro,bitmax,btcalpha,binance,okx,bingx,bitso,kucoin,fastex
phemex-spot,22.7,0.62,0.55,0.52,0.37,0.37,0.34,0.34,0.34,0.34,0.32,0.32
cex,22.7,0.6,0.53,0.5,0.35,0.35,0.32,0.32,0.32,0.32,0.3,0.3
bitget,22.7,0.59,0.52,0.49,0.34,0.34,0.31,0.31,0.31,0.31,0.29,0.29
btcturk-pro,22.6,0.52,0.46,0.43,0.28,0.28,0.24,0.24,0.24,0.24,0.23,0.22
coinsbit,22.6,0.51,0.45,0.42,0.27,0.27,0.23,0.23,0.23,0.23,0.22,0.21
probit,22.6,0.5,0.44,0.41,0.26,0.26,0.22,0.22,0.22,0.22,0.21,0.21
crypto-com,22.6,0.5,0.44,0.41,0.26,0.26,0.22,0.22,0.22,0.22,0.21,0.2
bybit-spot,22.6,0.49,0.42,0.39,0.24,0.24,0.21,0.21,0.21,0.21,0.19,0.19
kraken,22.6,0.48,0.41,0.38,0.24,0.23,0.2,0.2,0.2,0.2,0.18,0.18
binance-us,22.5,0.41,0.34,0.32,0.17,0.17,0.13,0.13,0.13,0.13,0.12,0.11
tidex,22.5,0.36,0.29,0.26,0.11,0.11,0.07,0.07,0.07,0.07,0.06,0.06
oceanex,22.5,0.35,0.29,0.26,0.11,0.11,0.07,0.07,0.07,0.07,0.06,0.05
