,fatbtc,bitmax,crypto-com,probit,bitget,huobipro,fastex,bingx,binance-us,kraken,oceanex,phemex-spot
cex,24.2,3.0,2.97,2.91,2.89,2.88,2.84,2.8,2.8,2.79,2.74,2.73
coinbasepro,22.5,0.82,0.79,0.73,0.71,0.69,0.66,0.62,0.62,0.6,0.56,0.55
coinsbit,22.4,0.74,0.7,0.64,0.63,0.61,0.57,0.54,0.54,0.52,0.48,0.46
xeggex,22.4,0.68,0.65,0.59,0.57,0.55,0.51,0.48,0.48,0.46,0.42,0.4
btcturk-pro,22.4,0.68,0.64,0.58,0.56,0.55,0.51,0.47,0.47,0.46,0.42,0.4
bybit-spot,22.2,0.5,0.46,0.4,0.38,0.37,0.33,0.29,0.29,0.28,0.23,0.22
binance,22.2,0.46,0.42,0.36,0.35,0.33,0.29,0.25,0.25,0.24,0.2,0.18
kucoin,22.2,0.44,0.4,0.34,0.32,0.31,0.27,0.23,0.23,0.22,0.17,0.16
bitstamp,22.1,0.4,0.37,0.31,0.29,0.27,0.23,0.2,0.2,0.18,0.14,0.12
tidex,22.1,0.39,0.36,0.3,0.28,0.26,0.22,0.19,0.19,0.17,0.13,0.11
bydfi,22.1,0.39,0.35,0.29,0.27,0.26,0.22,0.18,0.18,0.17,0.12,0.11
okx,22.1,0.37,0.33,0.27,0.25,0.24,0.2,0.16,0.16,0.15,0.11,0.09
