,fatbtc,bitstamp,crypto-com,phemex-spot,bybit-spot,bydfi,tidex,gateio,bitmax,btcturk-pro,bitget,binance
cex,23.4,1.29,1.27,1.25,1.23,1.23,1.22,1.2,1.19,1.17,1.17,1.16
oceanex,22.9,0.56,0.53,0.51,0.5,0.5,0.49,0.46,0.46,0.44,0.44,0.42
xeggex,22.8,0.55,0.52,0.5,0.48,0.48,0.48,0.45,0.45,0.43,0.43,0.41
bitso,22.8,0.52,0.5,0.48,0.46,0.46,0.46,0.43,0.42,0.4,0.4,0.39
coinbasepro,22.8,0.49,0.46,0.44,0.42,0.42,0.42,0.39,0.38,0.37,0.36,0.35
binance-us,22.7,0.34,0.31,0.29,0.27,0.27,0.27,0.24,0.24,0.22,0.22,0.2
fastex,22.6,0.27,0.24,0.22,0.2,0.2,0.2,0.17,0.16,0.15,0.14,0.13
kucoin,22.6,0.26,0.23,0.21,0.19,0.19,0.19,0.16,0.16,0.14,0.14,0.12
exmo,22.6,0.26,0.23,0.21,0.19,0.19,0.19,0.16,0.15,0.13,0.13,0.12
coinsbit,22.6,0.25,0.22,0.2,0.18,0.18,0.18,0.15,0.14,0.13,0.13,0.11
btcalpha,22.6,0.23,0.2,0.18,0.17,0.17,0.16,0.13,0.13,0.11,0.11,0.09
okx,22.6,0.23,0.2,0.18,0.16,0.16,0.16,0.13,0.13,0.11,0.11,0.09
