,fatbtc,kraken,phemex-spot,bitmax,coinbasepro,exmo,coinsbit,bitstamp,binance-us,bitso,oceanex,probit
cex,22.0,1.3,1.16,1.12,1.12,1.12,1.08,1.08,1.06,1.06,1.0,0.99
btcalpha,21.4,0.57,0.43,0.39,0.39,0.39,0.35,0.35,0.34,0.33,0.27,0.26
xeggex,21.4,0.51,0.37,0.34,0.33,0.33,0.29,0.29,0.28,0.27,0.21,0.2
gateio,21.4,0.49,0.35,0.32,0.31,0.31,0.27,0.27,0.26,0.26,0.19,0.19
bitget,21.3,0.46,0.32,0.29,0.28,0.28,0.24,0.24,0.23,0.23,0.17,0.16
btcturk-pro,21.3,0.42,0.27,0.24,0.24,0.24,0.2,0.2,0.18,0.18,0.12,0.11
tidex,21.3,0.38,0.24,0.2,0.2,0.2,0.16,0.16,0.14,0.14,0.08,0.07
fastex,21.3,0.36,0.22,0.19,0.18,0.18,0.14,0.14,0.13,0.13,0.06,0.06
bingx,21.3,0.36,0.22,0.19,0.18,0.18,0.14,0.14,0.13,0.13,0.06,0.06
kucoin,21.3,0.36,0.21,0.18,0.18,0.17,0.14,0.14,0.12,0.12,0.06,0.05
binance,21.3,0.34,0.2,0.17,0.16,0.16,0.12,0.12,0.11,0.11,0.05,0.04
huobipro,21.2,0.34,0.19,0.16,0.16,0.15,0.12,0.12,0.1,0.1,0.04,0.03
