,fatbtc,kucoin,bydfi,exmo,coinbasepro,oceanex,xeggex,coinsbit,gateio,bybit-spot,btcturk-pro,bitso
cex,22.8,4.4,4.34,4.21,3.85,3.56,3.53,3.48,3.47,3.37,3.35,3.34
okx,21.0,2.11,2.06,1.92,1.55,1.25,1.23,1.17,1.16,1.06,1.04,1.03
bitget,20.5,1.46,1.4,1.26,0.89,0.59,0.56,0.51,0.5,0.39,0.37,0.37
fastex,20.4,1.37,1.31,1.18,0.8,0.5,0.48,0.42,0.41,0.3,0.29,0.28
crypto-com,20.4,1.35,1.29,1.15,0.78,0.48,0.46,0.4,0.39,0.28,0.26,0.26
btcalpha,20.4,1.34,1.29,1.15,0.78,0.48,0.45,0.4,0.39,0.28,0.26,0.25
kraken,20.3,1.32,1.27,1.13,0.76,0.46,0.43,0.37,0.36,0.26,0.24,0.23
bitstamp,20.3,1.27,1.22,1.08,0.71,0.41,0.38,0.33,0.32,0.21,0.19,0.18
tidex,20.3,1.26,1.2,1.07,0.69,0.4,0.37,0.31,0.3,0.2,0.18,0.17
binance-us,20.3,1.23,1.17,1.03,0.66,0.36,0.33,0.28,0.27,0.16,0.14,0.13
bingx,20.3,1.21,1.15,1.02,0.64,0.34,0.32,0.26,0.25,0.14,0.13,0.12
bitmax,20.2,1.2,1.14,1.01,0.63,0.33,0.31,0.25,0.24,0.13,0.12,0.11
