,fatbtc,fastex,oceanex,probit,okx,bitmax,bingx,bitget,cex,binance,bybit-spot,phemex-spot
coinbasepro,16.2,1.21,1.12,1.08,1.06,1.06,1.06,1.06,1.03,1.03,1.01,0.87
bitstamp,16.2,1.19,1.1,1.06,1.04,1.04,1.04,1.04,1.01,1.01,0.99,0.85
binance-us,16.2,1.16,1.06,1.03,1.01,1.01,1.01,1.01,0.98,0.97,0.96,0.82
huobipro,16.1,1.11,1.01,0.97,0.96,0.96,0.96,0.96,0.93,0.92,0.91,0.77
xeggex,16.1,1.08,0.98,0.94,0.92,0.92,0.92,0.92,0.89,0.89,0.87,0.74
coinsbit,16.1,1.05,0.95,0.91,0.9,0.9,0.9,0.89,0.86,0.86,0.84,0.71
btcalpha,16.0,0.95,0.85,0.81,0.8,0.8,0.8,0.8,0.76,0.76,0.75,0.61
crypto-com,15.9,0.9,0.81,0.77,0.75,0.75,0.75,0.75,0.72,0.72,0.7,0.56
btcturk-pro,15.9,0.87,0.77,0.74,0.72,0.72,0.72,0.72,0.69,0.68,0.67,0.53
bitso,15.7,0.67,0.57,0.53,0.52,0.52,0.52,0.51,0.48,0.48,0.47,0.33
kraken,15.6,0.54,0.45,0.41,0.39,0.39,0.39,0.39,0.36,0.36,0.34,0.2
bydfi,15.6,0.51,0.42,0.38,0.36,0.36,0.36,0.36,0.33,0.32,0.31,0.17
