,cex,xeggex,exmo,bigone,crypto-com,bybit-spot,binance,p2pb2b,kucoin,coinex,bingx,fastex
cryptology,9.57,1.81,0.79,0.76,0.69,0.68,0.66,0.66,0.66,0.64,0.61,0.61
binance-us,9.5,1.74,0.72,0.69,0.61,0.6,0.59,0.59,0.59,0.57,0.54,0.54
btcturk-pro,9.5,1.74,0.72,0.69,0.61,0.6,0.59,0.59,0.59,0.57,0.54,0.54
kraken,9.46,1.7,0.68,0.65,0.57,0.56,0.54,0.54,0.54,0.52,0.5,0.5
phemex-spot,9.34,1.56,0.54,0.51,0.43,0.42,0.41,0.41,0.41,0.39,0.36,0.36
indodax,9.3,1.52,0.5,0.47,0.39,0.38,0.36,0.36,0.36,0.34,0.32,0.32
okx,9.3,1.52,0.5,0.47,0.39,0.38,0.36,0.36,0.36,0.34,0.32,0.32
bitmax,9.17,1.38,0.36,0.33,0.25,0.24,0.23,0.23,0.23,0.21,0.18,0.18
gateio,9.17,1.38,0.36,0.33,0.25,0.24,0.23,0.23,0.23,0.21,0.18,0.18
bitget,9.15,1.36,0.34,0.31,0.23,0.22,0.2,0.2,0.2,0.18,0.16,0.16
mxc,9.13,1.34,0.32,0.29,0.21,0.2,0.18,0.18,0.18,0.16,0.14,0.14
coinw,9.13,1.34,0.31,0.28,0.21,0.2,0.18,0.18,0.18,0.16,0.13,0.13
