,cex,xeggex,cryptology,bitmax,exmo,coinex,okx,phemex-spot,bigone,bybit-spot,binance,crypto-com
binance-us,9.5,1.74,0.86,0.81,0.72,0.7,0.68,0.68,0.67,0.65,0.63,0.61
btcturk-pro,9.5,1.74,0.86,0.81,0.72,0.7,0.68,0.68,0.67,0.65,0.63,0.61
kraken,9.46,1.7,0.82,0.77,0.68,0.65,0.64,0.63,0.62,0.61,0.59,0.57
indodax,9.3,1.52,0.64,0.59,0.5,0.47,0.46,0.45,0.44,0.43,0.41,0.39
bydfi,9.13,1.34,0.46,0.41,0.32,0.29,0.28,0.27,0.26,0.25,0.23,0.21
digifinex,9.1,1.3,0.42,0.37,0.28,0.26,0.24,0.23,0.22,0.21,0.19,0.17
mxc,9.09,1.3,0.41,0.36,0.27,0.25,0.23,0.23,0.21,0.2,0.18,0.16
coinbasepro,9.09,1.3,0.41,0.36,0.27,0.25,0.23,0.23,0.21,0.2,0.18,0.16
bitget,9.09,1.29,0.41,0.36,0.27,0.24,0.23,0.22,0.21,0.2,0.18,0.16
probit,9.05,1.25,0.37,0.32,0.23,0.2,0.19,0.18,0.17,0.16,0.14,0.12
huobipro,9.05,1.25,0.37,0.32,0.23,0.2,0.19,0.18,0.17,0.16,0.14,0.12
coinw,9.05,1.25,0.36,0.31,0.22,0.2,0.18,0.18,0.17,0.15,0.13,0.11
