,cex,xeggex,cryptology,exmo,phemex-spot,kraken,bitmax,p2pb2b,huobipro,okx,coinbasepro,btcturk-pro
probit,13.2,5.93,4.87,4.74,4.7,4.65,4.61,4.52,4.52,4.48,4.48,4.48
indodax,9.3,1.74,0.64,0.5,0.45,0.41,0.36,0.27,0.27,0.23,0.23,0.23
kucoin,9.24,1.68,0.58,0.44,0.39,0.35,0.3,0.21,0.21,0.17,0.17,0.17
coinex,9.24,1.68,0.58,0.44,0.39,0.35,0.3,0.21,0.21,0.17,0.17,0.17
bigone,9.22,1.66,0.56,0.42,0.37,0.33,0.28,0.19,0.19,0.15,0.15,0.15
deepcoin,9.21,1.65,0.55,0.41,0.36,0.32,0.27,0.18,0.18,0.14,0.14,0.14
bingx,9.21,1.65,0.55,0.41,0.36,0.32,0.27,0.18,0.18,0.14,0.14,0.14
gateio,9.21,1.65,0.55,0.41,0.36,0.32,0.27,0.18,0.18,0.14,0.14,0.14
coinw,9.18,1.62,0.51,0.37,0.33,0.28,0.24,0.15,0.15,0.1,0.1,0.1
bybit-spot,9.18,1.62,0.51,0.37,0.33,0.28,0.24,0.15,0.15,0.1,0.1,0.1
binance-us,9.17,1.6,0.5,0.36,0.32,0.27,0.23,0.14,0.14,0.09,0.09,0.09
fastex,9.17,1.6,0.5,0.36,0.32,0.27,0.23,0.14,0.14,0.09,0.09,0.09
