,cex,exmo,fastex,bitmax,mxc,okx,bingx,binance-us,kraken,digifinex,kucoin,gateio
xeggex,20.9,3.85,1.54,1.48,1.48,1.46,1.43,1.43,1.43,1.41,1.39,1.38
btcturk-pro,20.0,2.8,0.46,0.41,0.41,0.38,0.36,0.36,0.36,0.34,0.31,0.31
indodax,19.9,2.7,0.36,0.31,0.31,0.28,0.26,0.26,0.26,0.24,0.21,0.21
probit,19.9,2.65,0.31,0.26,0.26,0.23,0.2,0.2,0.2,0.18,0.16,0.15
cryptology,19.9,2.64,0.3,0.25,0.25,0.23,0.2,0.2,0.2,0.18,0.15,0.15
bitget,19.9,2.63,0.29,0.24,0.24,0.21,0.19,0.19,0.19,0.17,0.14,0.14
bybit-spot,19.9,2.63,0.28,0.23,0.23,0.21,0.18,0.18,0.18,0.16,0.14,0.13
bigone,19.8,2.58,0.24,0.18,0.18,0.16,0.13,0.13,0.13,0.11,0.09,0.08
deepcoin,19.8,2.55,0.2,0.15,0.15,0.13,0.1,0.1,0.1,0.08,0.06,0.05
bydfi,19.8,2.55,0.2,0.15,0.15,0.13,0.1,0.1,0.1,0.08,0.06,0.05
coinbasepro,19.8,2.55,0.2,0.15,0.15,0.13,0.1,0.1,0.1,0.08,0.06,0.05
p2pb2b,19.8,2.55,0.2,0.15,0.15,0.13,0.1,0.1,0.1,0.08,0.06,0.05
