,cex,digifinex,kucoin,cryptology,gateio,probit,kraken,crypto-com,okx,bybit-spot,binance,huobipro
xeggex,4.93,1.55,1.35,1.35,1.34,1.34,1.34,1.33,1.28,1.28,1.28,1.28
bitmax,4.05,0.64,0.44,0.44,0.43,0.43,0.43,0.41,0.37,0.37,0.37,0.37
bigone,4.05,0.64,0.44,0.44,0.43,0.43,0.43,0.41,0.37,0.37,0.36,0.36
exmo,3.81,0.39,0.19,0.19,0.18,0.18,0.18,0.17,0.13,0.12,0.12,0.12
binance-us,3.81,0.39,0.19,0.19,0.18,0.18,0.18,0.17,0.13,0.12,0.12,0.12
coinbasepro,3.81,0.39,0.19,0.19,0.18,0.18,0.18,0.17,0.13,0.12,0.12,0.12
fastex,3.75,0.33,0.13,0.13,0.12,0.12,0.12,0.11,0.07,0.06,0.06,0.06
phemex-spot,3.75,0.33,0.13,0.13,0.12,0.12,0.12,0.11,0.07,0.06,0.06,0.06
deepcoin,3.75,0.33,0.13,0.13,0.12,0.12,0.12,0.11,0.07,0.06,0.06,0.06
mxc,3.75,0.33,0.13,0.13,0.12,0.12,0.12,0.11,0.07,0.06,0.06,0.06
p2pb2b,3.75,0.33,0.13,0.13,0.12,0.12,0.12,0.11,0.07,0.06,0.06,0.06
bydfi,3.75,0.33,0.13,0.13,0.12,0.12,0.12,0.11,0.07,0.06,0.06,0.06
