,coinbasepro,bitmax,bigone,kraken,binance,latoken,bingx,bitget,deepcoin,fastex,okx,kucoin
probit,1.05,0.9,0.79,0.79,0.63,0.63,0.63,0.6,0.58,0.58,0.58,0.55
indodax,1.05,0.9,0.79,0.79,0.63,0.63,0.63,0.6,0.58,0.58,0.58,0.55
cryptology,0.73,0.57,0.47,0.47,0.31,0.31,0.31,0.28,0.26,0.26,0.25,0.23
bybit-spot,0.71,0.55,0.44,0.44,0.29,0.29,0.29,0.25,0.23,0.23,0.23,0.2
exmo,0.68,0.53,0.42,0.42,0.26,0.26,0.26,0.23,0.21,0.21,0.21,0.18
binance-us,0.68,0.53,0.42,0.42,0.26,0.26,0.26,0.23,0.21,0.21,0.21,0.18
crypto-com,0.63,0.47,0.37,0.37,0.21,0.21,0.21,0.18,0.16,0.16,0.15,0.13
huobipro,0.63,0.47,0.37,0.37,0.21,0.21,0.21,0.18,0.16,0.16,0.15,0.13
gateio,0.63,0.47,0.37,0.37,0.21,0.21,0.21,0.18,0.16,0.16,0.15,0.13
p2pb2b,0.63,0.47,0.37,0.37,0.21,0.21,0.21,0.18,0.16,0.16,0.15,0.13
bydfi,0.63,0.47,0.37,0.37,0.21,0.21,0.21,0.18,0.16,0.16,0.15,0.13
btcturk-pro,0.58,0.42,0.32,0.32,0.16,0.16,0.16,0.12,0.11,0.11,0.1,0.07
