,coinbasepro,bitmax,bigone,kraken,binance,latoken,bingx,btcturk-pro,deepcoin,fastex,okx,kucoin
probit,1.05,0.9,0.79,0.79,0.63,0.63,0.63,0.58,0.58,0.58,0.58,0.55
indodax,1.05,0.9,0.79,0.79,0.63,0.63,0.63,0.58,0.58,0.58,0.58,0.55
digifinex,0.76,0.61,0.5,0.5,0.34,0.34,0.34,0.29,0.29,0.29,0.29,0.26
bitget,0.71,0.55,0.44,0.44,0.29,0.29,0.29,0.23,0.23,0.23,0.23,0.2
exmo,0.68,0.53,0.42,0.42,0.26,0.26,0.26,0.21,0.21,0.21,0.21,0.18
binance-us,0.68,0.53,0.42,0.42,0.26,0.26,0.26,0.21,0.21,0.21,0.21,0.18
phemex-spot,0.68,0.53,0.42,0.42,0.26,0.26,0.26,0.21,0.21,0.21,0.21,0.18
huobipro,0.63,0.47,0.37,0.37,0.21,0.21,0.21,0.16,0.16,0.16,0.15,0.13
gateio,0.63,0.47,0.37,0.37,0.21,0.21,0.21,0.16,0.16,0.16,0.15,0.13
p2pb2b,0.63,0.47,0.37,0.37,0.21,0.21,0.21,0.16,0.16,0.16,0.15,0.13
bydfi,0.63,0.47,0.37,0.37,0.21,0.21,0.21,0.16,0.16,0.16,0.15,0.13
bybit-spot,0.59,0.43,0.33,0.33,0.17,0.17,0.17,0.12,0.12,0.12,0.11,0.09
