,indodax,latoken,exmo,coinbasepro,btcturk-pro,bigone,kraken,digifinex,coinex,bybit-spot,fastex,binance
binance-us,1.06,1.01,0.96,0.81,0.71,0.64,0.31,0.3,0.28,0.28,0.26,0.2
p2pb2b,1.01,0.96,0.91,0.76,0.66,0.59,0.26,0.24,0.23,0.22,0.2,0.15
bydfi,1.01,0.96,0.91,0.76,0.66,0.59,0.26,0.24,0.23,0.22,0.2,0.15
kucoin,0.97,0.91,0.87,0.72,0.61,0.54,0.21,0.2,0.18,0.18,0.16,0.11
probit,0.96,0.91,0.86,0.71,0.61,0.54,0.2,0.19,0.18,0.17,0.15,0.1
deepcoin,0.96,0.91,0.86,0.71,0.61,0.54,0.2,0.19,0.18,0.17,0.15,0.1
phemex-spot,0.96,0.91,0.86,0.71,0.61,0.54,0.2,0.19,0.18,0.17,0.15,0.1
mxc,0.96,0.91,0.86,0.71,0.61,0.54,0.2,0.19,0.18,0.17,0.15,0.1
bitmax,0.96,0.91,0.86,0.71,0.61,0.54,0.2,0.19,0.18,0.17,0.15,0.1
huobipro,0.96,0.91,0.86,0.71,0.61,0.54,0.2,0.19,0.18,0.17,0.15,0.1
gateio,0.96,0.91,0.86,0.71,0.61,0.54,0.2,0.19,0.18,0.17,0.15,0.1
okx,0.96,0.9,0.86,0.71,0.6,0.53,0.2,0.19,0.17,0.17,0.15,0.1
